"Description","Count","p.adjust"
"Glycolysis / Gluconeogenesis",6,9.68685371811481e-05
"Ribosome",8,0.00204961703405077
"Carbon metabolism",6,0.00204961703405077
"Carbon fixation by Calvin cycle",3,0.00378764414036551
"Biosynthesis of amino acids",5,0.0157082769467009
"Biosynthesis of secondary metabolites",8,0.0344954536906552
"Methane metabolism",2,0.0661760208297371
"Oxidative phosphorylation",3,0.0815938548819453
"Longevity regulating pathway - multiple species",2,0.104655846926551
"Pyruvate metabolism",2,0.165357005334472
"Tyrosine metabolism",1,0.221921027619298
"Propanoate metabolism",1,0.232833156322773
"Endocytosis",2,0.250759441875015
"Fatty acid degradation",1,0.250759441875015
"Spliceosome",2,0.250759441875015
"Fructose and mannose metabolism",1,0.250759441875015
"Protein processing in endoplasmic reticulum",2,0.250759441875015
"Pentose phosphate pathway",1,0.275032068526316
"Citrate cycle (TCA cycle)",1,0.28505645101386
"Glycerolipid metabolism",1,0.28600060869061
"Glycerophospholipid metabolism",1,0.321180640463298
"RNA degradation",1,0.432673617510511
"Nucleocytoplasmic transport",1,0.432673617510511
