"cor"	"component"	"abs"
"vacuole"	-0.887572352133232	"vacuole"	0.887572352133232
"cytoplasmic vesicle"	-0.073725795838151	"cytoplasmic vesicle"	0.073725795838151
"ER to Golgi transport vesicle membrane"	-0.244736989572997	"ER to Golgi transport vesicle membrane"	0.244736989572997
"COPI-coated vesicle membrane"	0.388037450011174	"COPI-coated vesicle membrane"	0.388037450011174
"nuclear outer membrane"	-0.845394609763069	"nuclear outer membrane"	0.845394609763069
"early endosome"	-0.64520694312351	"early endosome"	0.64520694312351
"nucleus-vacuole junction"	-0.859461838349366	"nucleus-vacuole junction"	0.859461838349366
"perinuclear endoplasmic reticulum"	-0.804245620726889	"perinuclear endoplasmic reticulum"	0.804245620726889
"nucleosome"	0.567536756195808	"nucleosome"	0.567536756195808
"90S preribosome"	0.990596865046421	"90S preribosome"	0.990596865046421
"cell cortex"	-0.982846160860829	"cell cortex"	0.982846160860829
"chromatin"	-0.547146564850968	"chromatin"	0.547146564850968
"periplasmic space"	-0.951243335560376	"periplasmic space"	0.951243335560376
"fungal-type vacuole"	-0.879524230852801	"fungal-type vacuole"	0.879524230852801
"precatalytic spliceosome"	0.832185354108454	"precatalytic spliceosome"	0.832185354108454
"catalytic step 2 spliceosome"	0.16817778008301	"catalytic step 2 spliceosome"	0.16817778008301
"ribosome"	0.996369527805897	"ribosome"	0.996369527805897
"intracellular organelle"	0.989559571856576	"intracellular organelle"	0.989559571856576
"cytoplasmic microtubule"	0.759070500459666	"cytoplasmic microtubule"	0.759070500459666
"microtubule"	0.934684473908255	"microtubule"	0.934684473908255
"clathrin-coated pit"	-0.968952719135226	"clathrin-coated pit"	0.968952719135226
"membrane coat"	0.446025885550386	"membrane coat"	0.446025885550386
"cis-Golgi network"	0.33691237970258	"cis-Golgi network"	0.33691237970258
"respirasome"	0.845959835488576	"respirasome"	0.845959835488576
"mitochondrial membrane"	0.89354097998741	"mitochondrial membrane"	0.89354097998741
"membrane raft"	0.459117574988067	"membrane raft"	0.459117574988067
"late endosome membrane"	-0.362533077543865	"late endosome membrane"	0.362533077543865
"phagophore assembly site"	-0.927651277737225	"phagophore assembly site"	0.927651277737225
"autophagosome membrane"	0.527562471910567	"autophagosome membrane"	0.527562471910567
"nuclear periphery"	-0.921128953980224	"nuclear periphery"	0.921128953980224
"site of polarized growth"	0.421796985618902	"site of polarized growth"	0.421796985618902
"mitochondrial nucleoid"	-0.451622465042884	"mitochondrial nucleoid"	0.451622465042884
"intracellular membrane-bounded organelle"	-0.911823454142429	"intracellular membrane-bounded organelle"	0.911823454142429
"cell division site"	-0.010734732578615	"cell division site"	0.010734732578615
"cellular bud membrane"	-0.83038053355332	"cellular bud membrane"	0.83038053355332
"eisosome"	-0.880600442698097	"eisosome"	0.880600442698097
"cytoplasmic vesicle membrane"	-0.967150894142821	"cytoplasmic vesicle membrane"	0.967150894142821
"transport vesicle"	0.756059086382836	"transport vesicle"	0.756059086382836
"cytoplasmic side of plasma membrane"	-0.278261784669457	"cytoplasmic side of plasma membrane"	0.278261784669457
"cell surface"	-0.932149133200668	"cell surface"	0.932149133200668
"nuclear outer membrane-endoplasmic reticulum membrane network"	0.942757845575921	"nuclear outer membrane-endoplasmic reticulum membrane network"	0.942757845575921
"cortical endoplasmic reticulum"	-0.978300970190292	"cortical endoplasmic reticulum"	0.978300970190292
"replication fork"	0.489596828160219	"replication fork"	0.489596828160219
"cell wall-bounded periplasmic space"	-0.97248661697012	"cell wall-bounded periplasmic space"	0.97248661697012
"U2-type prespliceosome"	0.0146693905873591	"U2-type prespliceosome"	0.0146693905873591
"mitochondrial ribosome"	0.954326794981814	"mitochondrial ribosome"	0.954326794981814
"vacuolar proton-transporting V-type ATPase, V1 domain"	0.955116736340025	"vacuolar proton-transporting V-type ATPase, V1 domain"	0.955116736340025
"vacuole-mitochondrion membrane contact site"	0.949248402949409	"vacuole-mitochondrion membrane contact site"	0.949248402949409
"phagophore assembly site membrane"	-0.522516338725708	"phagophore assembly site membrane"	0.522516338725708
"cellular bud neck septin ring"	0.228778679233434	"cellular bud neck septin ring"	0.228778679233434
