,Trehalose_1,Trehalose_2,Trehalose_b1,Trehalose_b2,Galactose,Galactose_b,Maltose,Maltose_b,Glucose,Glucose_b
YAR002W,1.82E-05,1.54E-05,2.07E-05,2.15E-05,1.96E-05,1.45E-05,2.31E-05,2.29E-05,2.42E-05,2.52E-05
YAR007C,0.000172188,0.000164173,0.000158798,0.000163828,0.000173282,0.000165524,0.00013415,0.000142349,0.000130086,0.000128002
YAR015W,0.000766842,0.000778497,0.000789792,0.000777968,0.000772383,0.000786605,0.000702587,0.000711877,0.000788109,0.00075149
YBL004W,8.86E-06,6.40E-06,9.23E-06,1.08E-05,1.72E-05,1.42E-05,1.55E-05,1.26E-05,2.48E-05,1.98E-05
YBL007C,9.75E-05,9.35E-05,9.96E-05,9.61E-05,9.57E-05,9.26E-05,7.47E-05,8.67E-05,6.56E-05,7.15E-05
YBL015W,0.001812165,0.001768958,0.002012638,0.001952495,0.001697108,0.001642288,0.000440989,0.000470353,0.000200512,0.000203852
YBL017C,5.74E-05,4.36E-05,4.86E-05,4.83E-05,7.87E-05,7.77E-05,5.58E-05,6.07E-05,5.23E-05,5.30E-05
YBL022C,0.000277997,0.000284922,0.000286364,0.000291148,0.000284602,0.000297576,0.000245123,0.000242233,0.000195304,0.000186843
YBL023C,1.69E-05,1.55E-05,1.88E-05,1.73E-05,1.27E-05,1.20E-05,1.45E-05,1.37E-05,1.67E-05,1.58E-05
YBL024W,0.000306051,0.000348694,0.000335365,0.000327092,0.000332171,0.000340081,0.00032784,0.000333776,0.000347457,0.000357036
YBL026W,6.66E-05,6.20E-05,5.91E-05,5.96E-05,6.12E-05,5.72E-05,5.26E-05,5.53E-05,5.31E-05,5.29E-05
YBL030C,0.004608256,0.004515968,0.004629191,0.004753132,0.008618214,0.008494888,0.004918808,0.004966625,0.002374726,0.002449159
YBL033C,8.41E-06,8.02E-06,1.01E-05,8.57E-06,1.07E-05,1.05E-05,1.13E-05,9.60E-06,9.92E-06,9.12E-06
YBL036C,0.000127201,0.000138468,0.000130911,0.00013392,0.000130932,0.000132741,0.000115684,0.000117615,0.000108658,0.00011117
YBL039C,0.000226224,0.000272399,0.000279255,0.000282711,0.000343519,0.00033708,0.000354336,0.000390521,0.000399461,0.000398963
YBL041W,0.000191985,0.000182833,0.000192548,0.000182223,0.000173885,0.00016438,0.000134082,0.000128658,0.000141349,0.000134155
YBL045C,0.002454388,0.002389791,0.002572567,0.002679503,0.003156197,0.003206778,0.001779672,0.001771954,0.000860848,0.000834524
YBL047C,0.000289565,0.000283567,0.000289833,0.000287172,0.000259577,0.000280233,0.000241465,0.00023676,0.000213246,0.000218483
YBL050W,0.000185127,0.000175703,0.000178289,0.000183081,0.000159623,0.00017506,0.000115163,0.000113066,0.000115973,0.000124073
YBL056W,5.51E-05,5.24E-05,6.31E-05,6.32E-05,4.44E-05,4.62E-05,4.24E-05,3.43E-05,2.90E-05,3.87E-05
YBL058W,0.00019831,0.000185376,0.000179342,0.000192097,0.000167928,0.000173401,0.000149746,0.000159378,0.000144087,0.000146299
YBL064C,0.000873884,0.000837162,0.000792224,0.000781634,0.000341478,0.000323662,0.000187243,0.000204669,3.07E-05,3.70E-05
YBL075C,0.003528834,0.003516437,0.002975796,0.003211392,0.001629195,0.001578193,0.001463003,0.001414459,0.001324779,0.001321946
YBL076C,0.001126408,0.001170202,0.001188038,0.001225683,0.001509477,0.001529956,0.001751704,0.001731819,0.00182667,0.0018074
YBL079W,2.93E-05,2.73E-05,3.09E-05,3.06E-05,3.71E-05,3.17E-05,2.60E-05,2.66E-05,2.97E-05,2.54E-05
YBL091C,4.11E-05,4.10E-05,3.56E-05,3.86E-05,4.71E-05,5.42E-05,4.44E-05,4.32E-05,4.03E-05,4.12E-05
YBL092W,0.001462764,0.001473973,0.001405113,0.001514595,0.002571554,0.002535231,0.002946903,0.002778012,0.003034455,0.003056726
YBL099W,0.007127259,0.007056452,0.007487079,0.007488897,0.009770903,0.010020445,0.005514819,0.005690804,0.002708995,0.002657169
YBL102W,2.41E-05,2.16E-05,1.96E-05,2.14E-05,1.78E-05,1.75E-05,1.41E-05,1.62E-05,1.31E-05,1.47E-05
YBR011C,0.003158579,0.003424703,0.003225839,0.003406125,0.003331732,0.003340751,0.003563829,0.003542212,0.0037517,0.003668039
YBR015C,5.84E-05,5.75E-05,4.69E-05,4.95E-05,6.41E-05,6.86E-05,6.81E-05,6.70E-05,6.09E-05,5.87E-05
YBR017C,3.29E-05,2.66E-05,3.35E-05,3.42E-05,3.71E-05,3.36E-05,3.09E-05,3.98E-05,3.59E-05,3.37E-05
YBR025C,0.00127587,0.001339189,0.00135701,0.001400501,0.00124575,0.001267007,0.001525374,0.001548886,0.00157953,0.001612439
YBR029C,0.000442811,0.000473239,0.000462612,0.000435119,0.000568105,0.000617698,0.000534699,0.000565231,0.000530034,0.000494364
YBR034C,9.50E-05,0.000111717,0.000118645,0.000121084,8.52E-05,9.12E-05,9.75E-05,7.77E-05,9.66E-05,8.84E-05
YBR035C,0.000195155,0.000218929,0.000221943,0.000228876,0.000238842,0.000242743,0.000211704,0.000215217,0.000179493,0.000181603
YBR039W,0.000878776,0.000801226,0.000824706,0.000849034,0.001206319,0.001234858,0.00073231,0.000738838,0.000357219,0.000369472
YBR049C,3.01E-05,3.21E-05,2.98E-05,2.72E-05,2.90E-05,1.96E-05,3.13E-05,2.99E-05,2.77E-05,2.56E-05
