,Trehalose_1,Trehalose_2,Trehalose_b1,Trehalose_b2,Galactose,Galactose_b,Maltose,Maltose_b,Glucose,Glucose_b
YGR175C,0.000166011,0.000188739,0.000144824,0.000137657,7.67E-05,6.54E-05,0.000123315,0.000128383,0.00026035,0.000255399
YGR178C,8.81E-05,9.04E-05,9.38E-05,9.26E-05,8.94E-05,9.39E-05,9.29E-05,9.27E-05,8.11E-05,8.80E-05
YGR180C,0.001963614,0.001809799,0.001469108,0.001541548,0.000845013,0.000886864,0.000690557,0.000678007,0.000657836,0.000646632
YGR181W,6.42E-05,5.98E-05,6.87E-05,6.64E-05,6.07E-05,5.68E-05,4.61E-05,4.66E-05,3.80E-05,4.19E-05
YGR184C,1.29E-05,1.64E-05,2.00E-05,1.64E-05,1.66E-05,1.97E-05,1.82E-05,1.77E-05,1.57E-05,1.51E-05
YGR185C,0.000299836,0.00031308,0.000336399,0.000314569,0.000454762,0.000445328,0.000441851,0.000451404,0.000452532,0.000427041
YGR186W,2.23E-05,2.19E-05,2.57E-05,2.40E-05,2.62E-05,2.61E-05,2.19E-05,2.32E-05,2.04E-05,2.24E-05
YGR187C,5.28E-05,4.98E-05,5.53E-05,5.26E-05,5.07E-05,5.00E-05,5.74E-05,5.57E-05,6.86E-05,6.72E-05
YGR189C,0.000403239,0.000403626,0.000300495,0.000340225,0.000541362,0.000488575,0.000191207,0.000207686,0.00016506,0.000151425
YGR192C,0.004875976,0.004857096,0.005330335,0.00516939,0.003277359,0.0035895,0.005369569,0.004466582,0.006070289,0.005904055
YGR193C,0.000147465,0.000136161,0.000161443,0.000150491,9.60E-05,9.42E-05,6.97E-05,6.56E-05,5.79E-05,6.51E-05
YGR200C,4.79E-05,4.31E-05,5.24E-05,5.04E-05,6.07E-05,6.13E-05,5.77E-05,6.17E-05,5.54E-05,5.49E-05
YGR204W,0.001474945,0.00155892,0.00171096,0.001699127,0.002474842,0.002448525,0.002366059,0.002420347,0.003446282,0.003403085
YGR207C,0.000150383,0.000164284,0.000172834,0.000173764,0.00015942,0.000166801,0.000142012,0.000140981,0.000123503,0.000123621
YGR208W,4.32E-05,4.72E-05,5.39E-05,5.04E-05,3.21E-05,3.39E-05,3.23E-05,3.40E-05,3.77E-05,4.00E-05
YGR209C,0.000713643,0.000721043,0.000685736,0.000712543,0.000131704,0.000125885,9.82E-05,9.04E-05,5.62E-05,7.31E-05
YGR211W,0.000271352,0.000267557,0.000248087,0.000256471,0.00025259,0.000247384,0.000214712,0.000221954,0.000213265,0.000204
YGR214W,4.95E-05,6.34E-05,5.73E-05,5.29E-05,6.26E-05,8.64E-05,8.90E-05,8.93E-05,8.75E-05,8.92E-05
YGR218W,0.000196278,0.000207112,0.000200274,0.000207804,0.000186112,0.000181652,0.000147474,0.00014526,0.000137192,0.000141098
YGR229C,5.37E-05,4.25E-05,6.03E-05,5.53E-05,6.52E-05,6.77E-05,6.72E-05,7.27E-05,5.96E-05,5.57E-05
YGR231C,0.000128539,0.000135971,0.000147101,0.000147063,0.000135136,0.000126182,0.000127711,0.000121033,9.96E-05,9.19E-05
YGR232W,4.53E-05,3.62E-05,4.41E-05,4.65E-05,4.98E-05,4.39E-05,3.52E-05,3.57E-05,3.14E-05,2.88E-05
YGR234W,0.001460862,0.002194346,0.00262757,0.002533563,0.001921789,0.00199659,0.002701351,0.002669517,0.001698627,0.001840251
YGR240C,0.001909843,0.00201539,0.002095994,0.00202494,0.002190082,0.002209824,0.002796755,0.002743088,0.003359046,0.003410045
YGR244C,0.001121103,0.001089761,0.00112245,0.001129972,0.000674391,0.000725807,0.000314702,0.000330726,0.000136037,0.000148087
YGR253C,0.000377611,0.000347513,0.000340807,0.000350618,0.000333629,0.000320715,0.000280368,0.000305672,0.00025686,0.00025934
YGR254W,0.029124382,0.030925957,0.029686367,0.029832593,0.01739118,0.017916399,0.033964116,0.031344545,0.044218296,0.039889128
YGR256W,0.00050618,0.000469066,0.000443344,0.000393516,3.58E-06,9.36E-07,0,0,0,2.66E-07
YGR264C,0.000296253,0.000321314,0.000329182,0.000354504,0.000487562,0.000517853,0.000590469,0.000595306,0.000634823,0.000610215
YGR266W,6.39E-05,6.78E-05,6.81E-05,6.48E-05,4.74E-05,4.22E-05,3.19E-05,2.77E-05,2.69E-05,3.88E-05
YGR267C,3.26E-05,2.51E-05,3.56E-05,3.71E-05,4.67E-05,4.10E-05,5.50E-05,5.44E-05,5.68E-05,5.26E-05
YGR271C-A,2.64E-05,2.97E-05,3.23E-05,3.22E-05,3.38E-05,3.02E-05,3.59E-05,4.13E-05,3.85E-05,3.92E-05
YGR275W,1.60E-05,1.56E-05,1.56E-05,1.64E-05,1.41E-05,1.58E-05,1.62E-05,1.52E-05,1.52E-05,1.58E-05
YGR277C,5.33E-05,5.67E-05,5.11E-05,5.28E-05,4.41E-05,4.15E-05,3.13E-05,3.38E-05,3.14E-05,2.96E-05
YGR279C,0.000162515,0.000151114,0.00014061,0.000140861,0.000111934,0.000110722,0.000178769,0.000173443,0.000155844,0.000157673
YGR282C,0.001498759,0.001429705,0.001223913,0.001279972,0.00111176,0.001075022,0.001106975,0.00108624,0.000866314,0.000809794
YGR285C,0.00050593,0.000530854,0.0005337,0.000541003,0.00079133,0.000795902,0.000857401,0.000805577,0.000849735,0.000863901
YHL004W,4.09E-05,3.68E-05,4.77E-05,4.46E-05,7.74E-05,8.07E-05,6.52E-05,5.99E-05,4.53E-05,4.12E-05
YHL007C,2.46E-05,2.64E-05,2.08E-05,3.27E-05,3.27E-05,3.33E-05,2.69E-05,3.14E-05,2.79E-05,4.40E-05
YHL011C,0.000130571,0.000143265,0.000137326,0.000132445,0.000181098,0.000181006,0.000170637,0.000172058,0.000184415,0.000173124
YHL015W,0.002420438,0.002525988,0.002422852,0.0024638,0.003984962,0.003515636,0.004451646,0.004477154,0.004411071,0.0042646
YHL030W,0.000137743,0.000138158,0.000134224,0.000136122,0.000135274,0.000130446,0.000120472,0.000125846,0.000127639,0.000124655
YHL031C,4.62E-05,4.61E-05,4.30E-05,5.16E-05,4.99E-05,5.02E-05,2.63E-05,3.00E-05,1.91E-05,3.13E-05
YHL033C,0.000206271,0.000214059,0.000223746,0.000202054,0.000381317,0.000374007,0.000327675,0.000329633,0.00036157,0.000393123
YHL034C,0.000887934,0.000836736,0.000846035,0.000868308,0.000707861,0.000714474,0.000681861,0.000649592,0.000588555,0.000578569
YHR001W,6.85E-05,6.51E-05,7.63E-05,6.76E-05,6.61E-05,5.94E-05,4.35E-05,2.47E-05,3.67E-05,3.79E-05
YHR001W-A,0.000239845,0.000234617,0.000208187,0.00020235,0.000313636,0.000347135,0.000167921,0.000188944,6.53E-05,7.70E-05
YHR005C,2.60E-05,2.56E-05,2.55E-05,2.93E-05,2.49E-05,2.73E-05,3.08E-05,3.24E-05,2.60E-05,2.45E-05
YHR005C-A,7.32E-05,6.99E-05,7.81E-05,7.82E-05,9.55E-05,9.18E-05,9.36E-05,8.43E-05,6.72E-05,7.13E-05
YHR007C,0.000145255,0.000159324,0.000140547,0.000140962,0.000119968,0.000121172,0.000172236,0.000178357,0.000260223,0.000251609
YHR008C,0.000729393,0.000698783,0.000719706,0.000667661,0.000441513,0.000427261,0.00029816,0.000280741,0.000134452,0.000136739
YHR009C,6.66E-05,6.96E-05,8.76E-05,6.69E-05,7.43E-05,7.48E-05,6.73E-05,6.78E-05,5.57E-05,6.05E-05
YHR010W,0.002136069,0.0023,0.002343174,0.002173564,0.003973053,0.003620416,0.00390964,0.004333344,0.004076351,0.004351638
YHR016C,2.03E-05,2.01E-05,2.20E-05,2.27E-05,0,3.96E-06,3.98E-06,0,3.04E-06,5.34E-06
YHR018C,0.000718506,0.000594969,0.00067202,0.000599966,0.000731456,0.000731697,0.000834085,0.000831071,0.000858592,0.000865759
YHR019C,0.000693723,0.000680788,0.000697494,0.000673363,0.001114187,0.001106786,0.001126368,0.001127704,0.0011486,0.001186749
YHR020W,0.000629007,0.000689303,0.000723622,0.000699724,0.001014854,0.001020159,0.001152542,0.001156331,0.001256188,0.001290739
YHR024C,6.12E-05,6.41E-05,7.26E-05,7.23E-05,0.000107362,0.00010425,8.43E-05,8.71E-05,6.22E-05,6.43E-05
YHR025W,0.000167968,0.000150368,0.000162973,0.000151284,0.000224319,0.000223612,0.00026137,0.000253261,0.000273089,0.000265408
YHR027C,0.000811803,0.000838111,0.000843494,0.000871915,0.000820983,0.00080023,0.000658111,0.000700626,0.00065465,0.00064111
YHR029C,0.00010402,9.46E-05,0.000102323,0.000110063,5.12E-05,2.82E-05,7.07E-05,7.14E-05,8.47E-05,8.11E-05
YHR030C,0.000101778,8.87E-05,8.90E-05,9.66E-05,0.000135872,0.000130563,4.94E-05,3.62E-05,2.71E-05,2.82E-05
YHR037W,0.000371271,0.000352414,0.000333401,0.000345595,0.000349636,0.000353554,0.000235203,0.000257378,0.000187374,0.000190905
YHR039C,8.76E-05,8.58E-05,7.95E-05,8.59E-05,8.38E-05,9.13E-05,6.93E-05,7.56E-05,8.49E-05,8.55E-05
YHR039C-A,8.89E-05,8.81E-05,9.26E-05,0.000101126,0.000113912,0.000111258,0.000127618,0.000142388,0.000135614,0.000149697
YHR042W,0.000186087,0.000180887,0.000179542,0.000191355,0.000181349,0.000182203,0.000180971,0.000179914,0.000190461,0.000194921
YHR047C,0.000104285,0.000105879,9.98E-05,9.83E-05,0.000114629,0.000117469,7.85E-05,8.46E-05,7.81E-05,7.88E-05
YHR051W,0.000756305,0.000775176,0.000787843,0.000841973,0.000894899,0.00089669,0.000497604,0.000516995,0.000235065,0.000238319
YHR052W,6.33E-05,7.27E-05,7.11E-05,7.65E-05,8.45E-05,8.07E-05,9.52E-05,8.81E-05,0.000105044,0.000104705
YHR062C,1.88E-05,1.80E-05,1.67E-05,1.98E-05,2.20E-05,2.38E-05,1.61E-05,2.04E-05,1.92E-05,1.99E-05
YHR063C,5.95E-05,5.35E-05,7.46E-05,6.69E-05,0.000158098,0.000151663,0.000131859,0.000129705,0.000122328,0.000124267
YHR064C,0.001015793,0.001051466,0.00105033,0.001039908,0.001457561,0.001528704,0.001585871,0.001540483,0.001714997,0.001649518
YHR065C,2.74E-05,3.25E-05,3.46E-05,3.84E-05,5.71E-05,5.76E-05,5.39E-05,5.85E-05,5.70E-05,4.86E-05
YHR066W,2.01E-06,0,2.30E-06,2.58E-06,3.74E-06,1.66E-06,1.61E-06,0,2.28E-06,3.87E-06
YHR068W,0.000150518,0.000158365,0.000176064,0.000164374,0.000273723,0.000279878,0.000354601,0.000367041,0.000441604,0.000445966
YHR069C,3.22E-05,2.79E-05,2.94E-05,3.45E-05,2.96E-05,3.32E-05,2.96E-05,3.12E-05,2.75E-05,3.14E-05
YHR074W,0.000133906,0.000132399,0.000122621,0.000122791,0.000130509,0.000131227,0.000105024,0.000104243,9.40E-05,9.75E-05
YHR098C,6.26E-05,5.19E-05,6.25E-05,6.12E-05,8.89E-05,8.10E-05,6.40E-05,6.98E-05,6.81E-05,6.58E-05
YHR104W,0.000573147,0.00051277,0.000452436,0.00046323,0.000350456,0.000332197,0.000218186,0.00024486,0.000134412,0.000129741
YHR107C,0.000145227,0.000145179,0.000134846,0.000139797,0.000164072,0.00017556,0.000123181,0.000131435,0.00011872,0.000115796
YHR108W,8.51E-05,8.28E-05,8.45E-05,8.55E-05,0.000102289,0.000105279,8.59E-05,8.70E-05,7.76E-05,8.02E-05
YHR111W,3.96E-05,3.78E-05,3.76E-05,4.00E-05,3.18E-05,3.47E-05,2.55E-05,2.50E-05,2.70E-05,2.27E-05
YHR112C,0.000118227,0.000122121,0.000116369,0.000128378,0.000125548,0.000124315,0.000143955,0.000156891,0.000129018,0.000133086
YHR113W,0.000201018,0.000213515,0.000209964,0.000207569,0.000135893,0.000136739,7.91E-05,9.53E-05,5.21E-05,7.00E-05
YHR117W,2.91E-05,2.57E-05,2.99E-05,3.02E-05,4.27E-05,4.31E-05,3.60E-05,4.46E-05,3.36E-05,3.92E-05
YHR121W,8.53E-05,8.00E-05,8.06E-05,8.19E-05,0.000112533,0.000113278,8.68E-05,9.07E-05,7.48E-05,7.32E-05
YHR128W,0.000112366,0.000130084,0.000134379,0.000140473,0.000161433,0.000163025,0.000189736,0.000199159,0.0002118,0.000215239
YHR132C,0.000100126,8.94E-05,8.90E-05,8.63E-05,4.94E-05,4.69E-05,3.97E-05,4.19E-05,3.79E-05,3.52E-05
YHR135C,6.05E-05,5.88E-05,5.58E-05,5.88E-05,6.72E-05,6.61E-05,4.84E-05,5.93E-05,5.60E-05,5.38E-05
YHR143W-A,4.93E-05,6.33E-05,6.57E-05,6.76E-05,6.27E-05,5.82E-05,6.77E-05,6.68E-05,7.00E-05,7.24E-05
YHR146W,0.000230996,0.000231303,0.000221678,0.000212068,0.000132879,0.00013922,0.000126817,0.000123172,0.000135919,0.000136479
YHR158C,4.12E-05,4.40E-05,4.62E-05,4.76E-05,4.07E-05,3.91E-05,3.14E-05,3.48E-05,3.04E-05,3.16E-05
YHR163W,0.00017526,0.000181945,0.000185208,0.000180094,7.94E-05,7.70E-05,7.33E-05,6.08E-05,4.35E-05,5.01E-05
YHR170W,6.01E-05,6.98E-05,6.97E-05,7.00E-05,8.46E-05,8.27E-05,8.49E-05,8.32E-05,8.88E-05,9.00E-05
YHR179W,0.000642057,0.000787178,0.000796114,0.00081666,0.000808546,0.000860525,0.001134624,0.001120153,0.001189151,0.001157644
YHR183W,0.003116017,0.003509461,0.004430593,0.003928103,0.005858892,0.006102083,0.006275151,0.006360087,0.005765878,0.005919512
YHR190W,0.000245505,0.000210102,0.000199664,0.000208775,0.000342208,0.000351472,0.000280587,0.000296927,0.000290729,0.00028767
YHR193C,0.001095203,0.001148527,0.001209472,0.001127123,0.00126162,0.001270872,0.001391415,0.001514574,0.001468116,0.001567035
YHR196W,0.000428517,0.000405867,0.000465302,0.000494359,0.000494927,0.000465064,0.00056295,0.000580728,0.000700318,0.000577898
YHR197W,4.35E-05,5.33E-05,4.77E-05,5.17E-05,4.99E-05,5.15E-05,5.37E-05,5.45E-05,5.89E-05,5.47E-05
YHR200W,0.000158921,0.000153344,0.000136282,0.000144298,0.000157955,0.000149037,0.000118464,0.000127038,0.00010216,0.000103547
YHR203C,0.002623129,0.002728151,0.002857642,0.002682764,0.004710561,0.004452108,0.005137455,0.004952727,0.005268009,0.005486528
YHR208W,0.00094748,0.00112568,0.001092443,0.001085843,0.001085045,0.001059961,0.001217474,0.001166496,0.001232839,0.001250336
YIL009W,5.18E-06,0,4.73E-06,8.23E-06,6.87E-06,7.75E-06,2.12E-05,1.42E-05,1.88E-05,2.17E-05
YIL018W,0.002531855,0.002650911,0.002803254,0.002619813,0.004592748,0.004276418,0.005156946,0.005074216,0.00544094,0.005324362
YIL021W,2.76E-05,2.75E-05,2.54E-05,2.73E-05,2.61E-05,2.58E-05,2.38E-05,2.30E-05,2.32E-05,2.17E-05
YIL022W,0.000183994,0.000194778,0.000192381,0.000204416,0.0002374,0.000241534,0.000192752,0.000196256,0.000162513,0.000156941
YIL030C,2.96E-05,2.77E-05,2.91E-05,2.92E-05,3.66E-05,3.83E-05,3.18E-05,3.64E-05,3.55E-05,3.22E-05
YIL033C,0.000647592,0.000679923,0.000659328,0.00068308,0.000249794,0.000249124,0.0001718,0.00017846,0.00013616,0.000136897
YIL034C,0.000136475,0.000129185,0.000118499,0.000131314,0.000121537,0.000124525,9.37E-05,9.62E-05,7.55E-05,6.89E-05
YIL035C,3.02E-05,2.98E-05,2.99E-05,2.98E-05,2.63E-05,3.33E-05,2.80E-05,2.59E-05,3.18E-05,2.82E-05
YIL038C,2.88E-05,3.16E-05,3.63E-05,3.41E-05,3.92E-05,4.02E-05,3.29E-05,3.43E-05,3.24E-05,3.22E-05
YIL041W,0.000898695,0.000911909,0.000946035,0.000966327,0.000662595,0.000679703,0.00055974,0.000559265,0.000498654,0.000505651
YIL043C,0.00018593,0.000181362,0.000164981,0.000183083,0.000220829,0.000215154,0.000169361,0.000185861,0.000175628,0.000172647
YIL051C,0.000467516,0.000444256,0.000459216,0.000441477,0.00062074,0.000599938,0.000619745,0.000641019,0.000538894,0.000528696
YIL052C,0.000890549,0.000992144,0.00103933,0.000987523,0.001694484,0.00168079,0.001867735,0.001851485,0.002055507,0.002095948
YIL053W,0.000248066,0.000277055,0.000290044,0.000309228,0.000312766,0.000295172,0.00044722,0.000482746,0.000472002,0.00054643
YIL062C,9.26E-05,8.47E-05,9.47E-05,9.66E-05,7.04E-05,8.69E-05,5.66E-05,5.54E-05,3.91E-05,4.71E-05
YIL069C,0.001825236,0.001932546,0.001962886,0.001879531,0.003398909,0.003091939,0.003729995,0.00396122,0.003831027,0.003878882
YIL070C,0.000155837,0.00016183,0.000160178,0.000166867,0.000191001,0.000226344,0.000185187,0.00017603,0.00011154,0.000122057
YIL074C,0.00024418,0.000284003,0.000295033,0.000311248,0.000356927,0.000339176,0.000368969,0.000395063,0.00050968,0.000511966
YIL075C,0.000585498,0.000584847,0.000567162,0.000585705,0.000553881,0.00054864,0.000442564,0.000470927,0.000415775,0.000406787
YIL076W,8.85E-05,8.75E-05,7.55E-05,8.93E-05,0.000111878,0.000107854,8.42E-05,8.32E-05,8.80E-05,7.68E-05
YIL078W,0.000999958,0.001084809,0.001114384,0.001092898,0.001342718,0.001357393,0.001390555,0.001396194,0.001513027,0.001547039
YIL083C,7.54E-05,7.11E-05,8.33E-05,7.41E-05,8.58E-05,9.14E-05,4.16E-05,4.19E-05,4.52E-05,4.39E-05
YIL091C,1.71E-05,1.94E-05,2.63E-05,2.11E-05,1.54E-05,1.78E-05,1.61E-05,1.39E-05,2.45E-05,1.85E-05
YIL094C,0.001454138,0.001435893,0.001516461,0.001542503,0.001850702,0.001771718,0.002033383,0.00211072,0.002353649,0.002327602
YIL108W,8.16E-05,7.38E-05,7.72E-05,8.05E-05,8.78E-05,9.23E-05,2.54E-05,2.36E-05,1.90E-05,2.89E-05
YIL109C,0.000396123,0.000383291,0.00038755,0.000399312,0.00044594,0.000431125,0.000341655,0.000349391,0.000321451,0.00030628
YIL115C,5.29E-05,5.24E-05,6.27E-05,6.63E-05,4.40E-05,4.30E-05,2.48E-05,2.10E-05,3.32E-05,2.20E-05
YIL116W,0.000367765,0.000352592,0.000384497,0.00039274,0.000299318,0.000297592,0.0003117,0.00033447,0.000393717,0.000395371
YIL118W,8.77E-05,9.12E-05,9.35E-05,9.49E-05,0.000110156,0.000106059,9.06E-05,0.000107322,9.31E-05,9.75E-05
YIL124W,0.000252773,0.000193007,0.000169584,0.000163328,8.12E-05,8.29E-05,5.29E-05,6.05E-05,4.37E-05,4.43E-05
YIL125W,0.001492658,0.001574167,0.001609697,0.001546435,0.001225255,0.001297677,0.000487461,0.000505216,0.000255081,0.000277647
YIL126W,4.37E-05,3.97E-05,4.34E-05,4.30E-05,5.26E-05,5.58E-05,5.29E-05,5.53E-05,5.61E-05,5.21E-05
YIL128W,2.06E-05,1.95E-05,2.02E-05,2.02E-05,2.32E-05,2.67E-05,1.74E-05,2.43E-05,2.15E-05,1.85E-05
YIL133C,0.000406492,0.000460968,0.000392687,0.000466303,0.000744275,0.000725766,0.000816867,0.000795635,0.000906256,0.000818828
YIL137C,6.46E-05,5.95E-05,6.50E-05,6.76E-05,0.000103879,0.000104495,8.17E-05,7.46E-05,7.59E-05,7.25E-05
YIL138C,0.000141474,0.000147709,0.000160095,0.00015251,0.00013472,0.000130068,9.59E-05,9.32E-05,8.36E-05,8.26E-05
YIL142W,0.000406043,0.000426314,0.000404894,0.00042419,0.000450308,0.000436016,0.000471367,0.000464108,0.000503242,0.000499024
YIR003W,4.53E-05,4.62E-05,6.25E-05,4.98E-05,3.44E-05,3.84E-05,2.73E-05,2.13E-05,1.51E-05,1.63E-05
YIR004W,3.71E-05,4.88E-05,4.49E-05,4.43E-05,5.92E-05,5.13E-05,5.13E-05,5.58E-05,3.69E-05,4.52E-05
YIR006C,0.000126449,0.000127117,0.000129955,0.000131202,0.000123172,0.000131799,0.000135469,0.000128982,0.000123943,0.000123162
YIR012W,4.34E-05,4.36E-05,4.17E-05,4.54E-05,4.91E-05,4.94E-05,5.07E-05,4.82E-05,5.53E-05,4.81E-05
YIR022W,3.05E-05,2.49E-05,2.55E-05,2.70E-05,3.21E-05,3.06E-05,2.51E-05,2.54E-05,2.55E-05,2.50E-05
YIR034C,0.000648305,0.000631833,0.00059972,0.000610773,0.000934635,0.000921458,0.000971478,0.000997035,0.001060512,0.001063301
YIR035C,2.04E-05,2.22E-05,2.06E-05,2.35E-05,2.03E-05,1.66E-05,4.74E-05,4.27E-05,2.16E-05,1.95E-05
YIR036C,0.000112542,0.000106199,8.86E-05,9.46E-05,6.66E-05,6.30E-05,4.30E-05,3.71E-05,3.06E-05,3.56E-05
YIR037W,0.000175102,0.000161984,0.000162584,0.000150693,9.22E-05,9.56E-05,7.45E-05,5.80E-05,5.16E-05,5.95E-05
YIR038C,0.000252449,0.000236744,0.000209922,0.000227758,6.57E-05,6.68E-05,4.85E-05,5.59E-05,2.57E-05,2.51E-05
YJL001W,0.000210635,0.000191635,0.000185045,0.00018834,0.000197314,0.000188304,0.00016837,0.000159393,0.00015756,0.000152425
YJL002C,6.30E-05,5.83E-05,5.75E-05,5.47E-05,8.26E-05,8.14E-05,7.61E-05,7.89E-05,8.46E-05,7.76E-05
YJL008C,0.000392782,0.000392548,0.000395333,0.000410046,0.000475778,0.000455571,0.000491528,0.000492771,0.000515703,0.000506201
YJL010C,5.36E-05,5.37E-05,5.35E-05,5.41E-05,5.58E-05,5.40E-05,5.09E-05,5.13E-05,5.89E-05,5.36E-05
YJL012C,4.25E-05,4.09E-05,3.80E-05,4.08E-05,7.39E-05,6.96E-05,7.44E-05,7.68E-05,7.57E-05,6.94E-05
YJL014W,0.00042813,0.000416052,0.000426212,0.000431312,0.000504197,0.000492734,0.000513061,0.000518141,0.000541188,0.000535004
YJL020C,0.000253726,0.000255446,0.000256811,0.000269907,0.000197914,0.000189484,0.000131437,0.000103364,7.50E-05,9.89E-05
YJL026W,0.001873482,0.001638139,0.001384769,0.001445755,0.000561133,0.000536126,0.000443675,0.000443154,0.000408042,0.000439151
YJL033W,3.12E-05,2.57E-05,3.87E-05,3.90E-05,4.95E-05,5.12E-05,5.97E-05,5.83E-05,6.73E-05,7.11E-05
YJL034W,0.001117673,0.000963879,0.000944907,0.00092661,0.001954539,0.001939912,0.000985029,0.001028677,0.000878883,0.000887104
YJL050W,8.91E-05,8.70E-05,8.64E-05,9.50E-05,0.000104889,0.000106081,0.000111973,0.000120823,0.000120428,0.000115523
YJL052W,0.001706178,0.001465831,0.001645822,0.001606782,0.000272909,0.000212511,0.000214595,0.00023543,0.000191404,0.000158562
YJL054W,2.04E-05,2.23E-05,2.11E-05,2.17E-05,2.29E-05,2.39E-05,1.99E-05,2.13E-05,1.89E-05,1.67E-05
YJL055W,3.03E-05,2.88E-05,3.75E-05,3.21E-05,3.84E-05,4.12E-05,4.16E-05,3.85E-05,3.34E-05,3.78E-05
YJL060W,0.000503482,0.000485891,0.000504491,0.000515371,0.000475241,0.000461699,0.000380804,0.000420523,0.000334035,0.000327776
YJL068C,0.000143027,0.000145026,0.000136277,0.000138335,8.18E-05,7.93E-05,5.89E-05,6.23E-05,4.38E-05,4.38E-05
YJL076W,2.82E-05,3.30E-05,3.20E-05,3.01E-05,3.48E-05,3.63E-05,3.10E-05,3.60E-05,3.00E-05,3.43E-05
YJL080C,0.000737156,0.000701225,0.000699689,0.000690069,0.001165937,0.001221625,0.001239777,0.00127479,0.001261277,0.001212368
YJL081C,2.10E-05,2.46E-05,1.98E-05,2.27E-05,2.02E-05,2.12E-05,1.69E-05,1.93E-05,1.77E-05,1.63E-05
YJL087C,1.59E-05,1.77E-05,1.99E-05,2.13E-05,2.65E-05,2.92E-05,1.65E-05,1.13E-05,1.98E-05,1.65E-05
YJL088W,0.000668351,0.000796356,0.000902406,0.000876226,0.000591012,0.000577229,0.000700266,0.000681789,0.000847589,0.000883045
YJL096W,1.33E-05,1.32E-05,1.37E-05,1.37E-05,2.53E-05,2.41E-05,1.92E-05,1.96E-05,1.29E-05,1.29E-05
YJL101C,5.46E-05,5.12E-05,5.53E-05,6.13E-05,7.54E-05,7.63E-05,9.94E-05,0.000103027,0.000104844,9.90E-05
YJL109C,0.000122932,0.000135855,0.000136271,0.000139984,0.000154861,0.000160097,0.000157414,0.000169553,0.000176451,0.000169072
YJL111W,0.000322417,0.000339323,0.000349272,0.000357617,0.000344334,0.000366809,0.000349824,0.000356038,0.000364783,0.000360205
YJL117W,3.91E-05,3.26E-05,3.73E-05,3.50E-05,4.00E-05,4.11E-05,2.68E-05,3.09E-05,2.98E-05,2.61E-05
YJL123C,8.42E-05,7.85E-05,7.23E-05,7.36E-05,7.28E-05,8.10E-05,7.31E-05,7.50E-05,6.58E-05,6.52E-05
YJL124C,1.96E-05,1.62E-05,2.04E-05,1.91E-05,2.47E-05,2.05E-05,2.03E-05,1.93E-05,1.12E-05,1.70E-05
YJL125C,2.24E-05,1.98E-05,2.05E-05,2.51E-05,2.85E-05,2.36E-05,2.39E-05,2.89E-05,2.60E-05,2.72E-05
YJL128C,1.60E-05,1.75E-05,1.69E-05,1.92E-05,1.75E-05,1.66E-05,1.79E-05,1.90E-05,1.55E-05,1.49E-05
YJL130C,0.006476772,0.005605714,0.005487998,0.005938926,0.009004039,0.008635932,0.006746095,0.006869504,0.008106734,0.007767798
YJL136C,2.92E-05,2.38E-05,2.70E-05,3.02E-05,4.90E-05,4.85E-05,6.30E-05,5.78E-05,7.43E-05,7.79E-05
YJL145W,4.97E-05,5.08E-05,5.05E-05,5.48E-05,6.53E-05,6.76E-05,5.28E-05,3.63E-05,4.85E-05,5.32E-05
YJL167W,0.000667304,0.000597636,0.000578449,0.000583273,0.00105394,0.001053987,0.000867349,0.000878735,0.000815759,0.000820513
YJL171C,6.42E-05,5.92E-05,5.78E-05,5.15E-05,0.000112348,0.000108774,5.82E-05,6.07E-05,5.80E-05,5.72E-05
YJL172W,0.000245464,0.000226117,0.000225665,0.000205315,0.000148319,0.000141009,0.000114997,0.00013705,0.000112569,0.000103131
YJL173C,5.87E-05,5.80E-05,5.30E-05,5.77E-05,5.76E-05,6.04E-05,4.67E-05,4.91E-05,4.18E-05,4.55E-05
YJL176C,2.80E-05,1.18E-05,2.05E-05,2.13E-05,3.14E-05,2.08E-05,1.87E-05,1.34E-05,1.51E-05,1.70E-05
YJL183W,5.41E-05,5.02E-05,5.63E-05,5.18E-05,6.67E-05,6.84E-05,6.52E-05,6.67E-05,6.11E-05,6.68E-05
YJL191W,1.79E-05,6.59E-06,6.13E-06,1.68E-05,1.45E-05,1.38E-05,1.37E-05,1.30E-05,1.32E-05,1.29E-05
YJL197W,8.09E-06,8.10E-06,8.26E-06,8.87E-06,1.02E-05,9.71E-06,1.05E-05,1.05E-05,1.39E-05,1.20E-05
YJL200C,0.000849062,0.000959154,0.000953297,0.000928952,0.001180919,0.001172747,0.001266285,0.001316442,0.001333087,0.001383606
YJL217W,0.000152249,0.000146355,0.000172538,0.000165311,7.59E-05,8.31E-05,0.000526336,0.000541385,2.08E-05,3.59E-05
YJR006W,7.43E-06,9.55E-06,9.09E-06,7.95E-06,9.23E-06,9.43E-06,7.79E-06,8.25E-06,8.21E-06,7.33E-06
YJR007W,0.000383123,0.000400249,0.000386851,0.000389149,0.000445006,0.000432222,0.000405744,0.000407826,0.000433956,0.00041934
YJR009C,0.001148855,0.001223992,0.001314055,0.001334302,0.000572051,0.000607009,0.001763179,0.001499226,0.002555797,0.002426314
YJR010W,0.001075076,0.00129153,0.001376667,0.001363842,0.001485034,0.00153836,0.001636997,0.001564388,0.001857183,0.001809572
