,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor
YAR015W,0.000557516,0.000554131,0.000983338,0.000867429,0.000795618,0.000866657,0.000629616,0.000677779
YBL004W,4.69E-05,5.24E-05,5.24E-05,5.09E-05,4.16E-05,5.73E-05,2.79E-05,4.71E-05
YBL007C,0.000153244,0.000139905,0.000109682,0.000104328,8.13E-05,8.66E-05,7.03E-05,7.78E-05
YBL015W,9.45E-05,0.000107894,7.22E-05,7.30E-05,9.48E-05,0.000112668,0.000111277,0.00013414
YBL017C,6.21E-05,6.24E-05,5.84E-05,6.33E-05,5.16E-05,5.88E-05,6.27E-05,6.09E-05
YBL022C,0.000247376,0.000242546,0.000205442,0.000209514,0.000201917,0.000200817,0.000190088,0.000182031
YBL023C,2.47E-05,4.82E-05,1.40E-05,2.39E-05,2.00E-05,1.56E-05,2.04E-05,2.02E-05
YBL024W,0.000611664,0.000594004,0.000531182,0.000559885,0.000445309,0.000470384,0.000400336,0.000418832
YBL026W,6.34E-05,6.88E-05,5.74E-05,6.63E-05,6.52E-05,5.66E-05,4.53E-05,4.57E-05
YBL030C,0.002446784,0.002659487,0.002174745,0.001987373,0.001911505,0.001775286,0.002122388,0.002150699
YBL032W,8.37E-05,7.57E-05,7.81E-05,7.00E-05,7.40E-05,6.29E-05,4.66E-05,6.01E-05
YBL036C,0.000196383,0.00018299,0.000175199,0.00015765,0.000121054,0.000121678,9.77E-05,0.000103383
YBL037W,4.28E-05,4.18E-05,3.49E-05,3.53E-05,2.51E-05,2.71E-05,1.78E-05,1.96E-05
YBL039C,0.000438584,0.000470012,0.000465707,0.000427561,0.000444822,0.000422746,0.000373251,0.000392282
YBL041W,0.000290253,0.000274185,0.000243218,0.000232273,0.000190598,0.000179929,0.000147183,0.000139507
YBL045C,0.001150282,0.00122197,0.001028974,0.001048259,0.000919037,0.000987058,0.00077988,0.00081893
YBL047C,0.000260274,0.00025402,0.00024684,0.00023301,0.000218805,0.000237407,0.000232999,0.000232047
YBL050W,0.000237357,0.000234359,0.000206711,0.00023015,0.000175864,0.000163374,0.000122544,0.000141869
YBL056W,7.69E-05,7.32E-05,6.34E-05,5.30E-05,5.73E-05,5.36E-05,5.47E-05,5.39E-05
YBL057C,3.63E-05,5.51E-05,4.15E-05,3.49E-05,3.31E-05,2.97E-05,3.10E-05,3.13E-05
YBL058W,0.000310645,0.000306291,0.000269276,0.000261278,0.000224527,0.000215065,0.000186029,0.000200253
YBL064C,0.000112419,0.000103189,6.24E-05,6.82E-05,5.62E-05,3.91E-05,2.18E-05,5.17E-05
YBL068W,9.10E-05,9.64E-05,8.81E-05,8.39E-05,5.26E-05,6.71E-05,4.43E-05,4.34E-05
YBL075C,0.001065374,0.001281415,0.001297934,0.001205852,0.001232224,0.001163187,0.000999931,0.001182839
YBL076C,0.002142471,0.002075859,0.002038872,0.002099887,0.001810892,0.001797208,0.001721272,0.001752774
YBL079W,8.22E-05,9.08E-05,7.94E-05,6.76E-05,5.56E-05,5.95E-05,4.42E-05,5.02E-05
YBL091C,0.000106689,0.000115413,9.56E-05,0.00010254,6.75E-05,7.12E-05,5.11E-05,5.17E-05
YBL092W,0.002808322,0.002526513,0.00243093,0.002515066,0.002294048,0.002489903,0.002147099,0.002012292
YBL098W,5.24E-05,6.78E-05,5.64E-05,5.83E-05,6.46E-05,6.24E-05,5.65E-05,6.85E-05
YBL099W,0.002429437,0.002788601,0.002266646,0.002347758,0.002389406,0.002662333,0.002349397,0.002488442
YBR011C,0.002829868,0.002842215,0.00288911,0.003140048,0.003320207,0.003225005,0.004056804,0.003757754
YBR017C,0.000103339,9.14E-05,7.82E-05,6.15E-05,4.25E-05,4.00E-05,3.33E-05,3.18E-05
YBR023C,1.86E-05,1.80E-05,2.01E-05,1.82E-05,1.86E-05,1.54E-05,1.66E-05,1.67E-05
YBR025C,0.002799226,0.002626729,0.002686067,0.002641141,0.00259147,0.002475777,0.00206848,0.002062274
YBR034C,5.81E-05,6.12E-05,5.14E-05,6.18E-05,5.70E-05,4.78E-05,7.02E-05,5.61E-05
YBR035C,0.000264896,0.000254788,0.000249562,0.000248801,0.000157147,0.00017356,0.000175797,0.000155962
YBR039W,0.000338903,0.000336315,0.000347079,0.00032827,0.000357484,0.000339805,0.000342457,0.000387857
YBR041W,2.56E-05,3.04E-05,2.42E-05,2.32E-05,1.65E-05,1.41E-05,1.35E-05,2.16E-05
YBR042C,2.38E-05,3.01E-05,2.22E-05,2.20E-05,1.77E-05,1.61E-05,1.24E-05,1.70E-05
YBR049C,5.45E-05,5.89E-05,5.80E-05,5.54E-05,4.71E-05,4.56E-05,3.99E-05,4.56E-05
YBR078W,0.000603579,0.000637832,0.000645176,0.000613225,0.000734736,0.000579822,0.000857982,0.000879568
YBR079C,0.001418585,0.001431238,0.001297127,0.001320866,0.001119436,0.001153086,0.000947399,0.001025304
YBR080C,0.000439925,0.000437498,0.000366076,0.000358496,0.000292394,0.000282561,0.000246249,0.00022854
YBR084C-A,0.005079353,0.005000506,0.004759618,0.004271885,0.004259322,0.004343691,0.005494071,0.003935717
YBR084W,0.000314716,0.000336327,0.000313976,0.000323443,0.000332488,0.000319831,0.000309539,0.000311691
YBR086C,6.24E-05,5.90E-05,6.24E-05,6.13E-05,6.56E-05,6.09E-05,6.31E-05,6.45E-05
YBR087W,6.49E-05,7.45E-05,6.89E-05,6.37E-05,5.41E-05,5.61E-05,4.12952E-05,4.97E-05
YBR088C,0.000364151,0.000328007,0.00033467,0.000337471,0.000339282,0.000317747,0.000327399,0.000296014
YBR094W,4.87E-05,5.12E-05,5.07E-05,4.02E-05,3.57E-05,3.34E-05,2.36E-05,3.16E-05
YBR101C,0.000219302,0.000229413,0.000210861,0.00018808,0.000139756,0.000131692,8.71E-05,0.000100419
YBR106W,0.000310747,0.000278259,0.000368093,0.000345454,0.000428883,0.000335445,0.000377214,0.000467818
YBR109C,0.000449113,0.000405185,0.000372691,0.000357053,0.000314427,0.000319285,0.000302614,0.000260868
YBR112C,9.34E-05,7.07E-05,7.26E-05,8.20E-05,7.36E-05,7.00E-05,7.80E-05,7.20E-05
YBR115C,0.001991417,0.002066662,0.00218503,0.002246264,0.001931909,0.001837418,0.00212032,0.002197788
YBR121C,0.001595456,0.001615928,0.001527118,0.001594063,0.001655631,0.001714127,0.001842048,0.001766789
