,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor
YIL108W,8.99E-05,0.0001184,6.61E-05,6.38E-05,3.35E-05,4.57E-05,3.28E-05,2.79E-05
YIL109C,0.000392258,0.000406441,0.000356886,0.000339004,0.000301023,0.000313641,0.000276258,0.000285765
YIL110W,4.71E-05,5.03E-05,4.12E-05,3.56E-05,3.19E-05,3.44E-05,2.49E-05,2.40E-05
YIL115C,0.00011935,0.000113905,9.42E-05,9.61E-05,8.00E-05,7.26E-05,6.11E-05,6.96E-05
YIL116W,0.000616615,0.000580623,0.000618285,0.00055595,0.000453548,0.000390965,0.000352009,0.000402319
YIL118W,0.00010877,0.000111761,9.78E-05,0.000107196,0.000116259,0.000129486,0.000100652,0.000108471
YIL124W,3.85E-05,3.47E-05,3.18E-05,3.02E-05,2.85E-05,2.35E-05,2.06E-05,2.20E-05
YIL125W,0.000238839,0.000235825,0.000180978,0.000206779,0.000200425,0.000216669,0.000187395,0.000197433
YIL126W,0.000127351,0.000126449,0.000116872,0.000128538,9.23E-05,7.64E-05,6.70E-05,8.12E-05
YIL133C,0.001686595,0.001735921,0.001616583,0.001736553,0.001590477,0.001596332,0.001441008,0.001338957
YIL137C,0.000232665,0.000222497,0.000194874,0.000186878,0.000146828,0.000154893,9.94E-05,0.000120957
YIL138C,0.000145564,0.000149971,0.000122004,0.000126499,9.99E-05,9.45E-05,9.21E-05,8.97E-05
YIL142W,0.000798771,0.000821046,0.000820381,0.000826078,0.000746493,0.000752544,0.000633877,0.000652681
YIL145C,4.04E-05,4.77E-05,3.08E-05,3.26E-05,1.42E-05,2.31E-05,2.16E-05,1.56E-05
YIL155C,5.17E-05,5.94E-05,2.46E-05,3.11E-05,1.53E-05,1.14E-05,5.21E-06,1.15E-05
YIR004W,6.69E-05,6.14E-05,5.61E-05,6.58E-05,5.25E-05,5.40E-05,3.91E-05,4.89E-05
YIR006C,0.000196328,0.000199214,0.000186152,0.000177871,0.000173427,0.000177399,0.000177555,0.000163263
YIR026C,6.79E-05,7.30E-05,6.35E-05,6.04E-05,5.32E-05,4.14E-05,2.90E-05,4.73E-05
YIR034C,0.002221002,0.002267966,0.002049425,0.002120132,0.001583623,0.001669358,0.001372558,0.001547218
YIR035C,4.23E-05,4.22E-05,3.05E-05,3.69E-05,2.91E-05,2.70E-05,2.48E-05,3.19E-05
YIR036C,4.15E-05,4.59E-05,5.07E-05,6.04E-05,4.54E-05,4.64E-05,4.17E-05,3.59E-05
YIR037W,5.03E-05,4.56E-05,5.51E-05,5.98E-05,5.22E-05,5.34E-05,4.94E-05,5.15E-05
YJL001W,0.000369252,0.00038723,0.000328963,0.000249628,0.000201937,0.000234455,0.000186122,0.000192774
YJL002C,9.27E-05,0.000117995,0.000102985,8.41E-05,8.27E-05,8.66E-05,9.32E-05,0.00010429
YJL008C,0.001053646,0.001151353,0.00105062,0.001023406,0.000912605,0.000931419,0.000673778,0.000757427
YJL010C,0.000107574,0.000108606,8.96E-05,9.82E-05,8.00E-05,9.31E-05,6.97E-05,7.66E-05
YJL012C,0.000151574,0.000137145,0.000128858,0.000136534,0.000121141,0.000130028,0.00011087,0.000102717
YJL014W,0.000882404,0.000874768,0.000807994,0.000813332,0.00068213,0.000745625,0.000553278,0.000583811
YJL020C,0.000274661,0.00025846,0.000199599,0.000198018,0.000146707,0.000158579,0.000129621,0.00011929
YJL026W,0.000258366,0.000272845,0.000275437,0.00028995,0.000307269,0.000336323,0.000386776,0.000457299
YJL033W,7.91E-05,7.62E-05,7.17E-05,7.31E-05,6.89E-05,7.08E-05,5.71E-05,5.71E-05
YJL034W,0.00132809,0.001317795,0.00116779,0.001178504,0.001113703,0.001203917,0.000971739,0.001117902
YJL039C,8.19E-05,8.22E-05,6.95E-05,6.12E-05,5.56E-05,5.48E-05,3.65E-05,5.12E-05
YJL050W,0.000228256,0.000228104,0.00020691,0.000206098,0.000176732,0.000184307,0.000146152,0.000166474
YJL052W,0.000275646,0.000268468,0.000120417,0.000114087,0.000175597,0.000195264,0.00013918,0.000134084
YJL054W,3.21E-05,3.30E-05,3.20E-05,2.97E-05,2.50E-05,2.57E-05,1.70E-05,2.26E-05
YJL055W,6.73E-05,6.64E-05,7.53E-05,6.59E-05,5.21E-05,5.25E-05,4.39E-05,3.82E-05
YJL060W,0.000574259,0.000548352,0.000449579,0.00047953,0.000407619,0.000419831,0.000394764,0.000339352
YJL063C,6.80E-05,7.31E-05,7.11E-05,6.69E-05,6.78E-05,8.03E-05,7.22E-05,6.70E-05
YJL068C,7.50E-05,6.55E-05,6.69E-05,6.21E-05,5.35E-05,4.26E-05,5.21E-05,4.50E-05
YJL069C,6.84E-05,5.87E-05,5.82E-05,5.20E-05,4.32E-05,4.33E-05,3.85E-05,2.86E-05
YJL080C,0.001124929,0.001143193,0.001196977,0.001206121,0.001387247,0.001462509,0.001495424,0.00162732
YJL081C,2.61E-05,3.35E-05,2.48E-05,3.49E-05,1.91E-05,2.17E-05,2.42E-05,2.43E-05
YJL088W,0.000442499,0.000551322,0.000721844,0.000707797,0.000698115,0.000752461,0.000765066,0.000813481
YJL101C,0.000143681,0.000153777,0.000147048,0.000138508,0.000148487,0.000159273,0.000139576,0.000140525
YJL109C,0.000320949,0.000369524,0.00030487,0.000322197,0.000247459,0.000267409,0.000176611,0.00022805
YJL111W,0.000697221,0.000696388,0.000645581,0.000632904,0.000538267,0.000519056,0.000438527,0.000450277
YJL117W,6.60E-05,5.30E-05,4.55E-05,4.74E-05,3.87E-05,3.12E-05,4.04E-05,3.99E-05
YJL121C,0.000106363,0.000124404,0.00014525,0.000102824,9.46E-05,0.000109301,0.000102924,0.000109263
YJL122W,4.61E-05,6.05E-05,5.79E-05,4.24E-05,4.74E-05,3.97E-05,5.48E-05,7.03E-05
YJL123C,0.000181621,0.000169878,0.000148071,0.000150751,0.000117269,0.000136356,0.000116808,0.000113147
YJL124C,1.73E-05,2.65E-05,2.28E-05,1.97E-05,1.66E-05,2.03E-05,1.17E-05,1.55E-05
YJL125C,5.93E-05,6.44E-05,5.78E-05,5.02E-05,3.98E-05,3.84E-05,3.69E-05,4.63E-05
YJL128C,4.52E-05,4.97E-05,4.29E-05,3.92E-05,3.12E-05,3.16E-05,2.15E-05,3.13E-05
YJL130C,0.004395558,0.004627256,0.004643961,0.004597843,0.004839947,0.005100595,0.006723108,0.00705202
YJL136C,0.000292053,0.000302253,0.000267689,0.000228978,0.000251811,0.000274567,0.000339665,0.000184035
YJL145W,0.000111953,0.000100361,9.73E-05,0.000102022,9.55E-05,8.95E-05,7.19E-05,8.68E-05
YJL166W,7.80E-05,8.91E-05,8.24E-05,7.87E-05,6.48E-05,5.57E-05,5.75E-05,6.14E-05
YJL167W,0.000826203,0.000858166,0.000910967,0.0009394,0.00099429,0.000888025,0.000891318,0.000981553
YJL171C,7.99E-05,9.88E-05,6.79E-05,5.96E-05,6.42E-05,7.38E-05,6.84E-05,6.25E-05
YJL173C,5.71E-05,5.33E-05,4.92E-05,4.46E-05,4.64E-05,4.69E-05,4.94E-05,4.29E-05
YJL176C,4.63E-05,4.47E-05,3.66E-05,4.27E-05,2.97E-05,2.91E-05,1.70E-05,2.12E-05
YJL177W,0.00016179,0.000204834,0.000215935,0.000185028,0.000219608,0.000189317,0.000169476,0.000205718
YJL178C,6.57E-05,6.98E-05,6.49E-05,5.78E-05,4.38E-05,4.78E-05,3.58E-05,4.21E-05
YJL183W,9.07E-05,7.81E-05,6.55E-05,9.06E-05,8.42E-05,8.10E-05,7.42E-05,8.27E-05
YJL189W,0.00032088,0.000407187,0.000295884,0.000341838,0.000383481,0.000442312,0.000334547,0.000321754
YJL191W,4.11E-05,2.53E-05,3.76E-05,1.59E-05,1.09E-05,1.43E-05,1.22E-05,9.98E-06
YJL200C,0.00229694,0.002180008,0.002353901,0.002380878,0.001935694,0.001847538,0.001712776,0.001660952
YJL208C,3.71E-05,3.64E-05,3.60E-05,3.71E-05,3.94E-05,4.18E-05,3.74E-05,4.27E-05
YJL213W,0.0004327,0.000481584,0.00022453,0.000237047,5.62E-05,6.67E-05,4.95E-05,4.52E-05
YJR002W,4.92E-05,6.65E-05,5.12E-05,5.18E-05,4.40E-05,4.98E-05,4.51E-05,5.17E-05
YJR007W,0.000454139,0.000513082,0.000421253,0.00045311,0.000380456,0.000390232,0.000292417,0.00031695
YJR009C,0.000551747,0.000722711,0.000775213,0.000798397,0.001282548,0.001200718,0.002269902,0.001965516
YJR010W,0.000953078,0.001122675,0.001127295,0.00115139,0.001746614,0.001853265,0.002093629,0.002178701
YJR014W,0.000108887,0.000100759,0.000116712,0.000108062,0.000106566,9.59E-05,8.85E-05,9.45E-05
YJR016C,0.001645933,0.001600973,0.001670937,0.001672507,0.001702005,0.001736079,0.001537765,0.001498387
YJR045C,0.0030746,0.002904797,0.00291485,0.002972538,0.003203581,0.00333208,0.003556974,0.003517726
YJR048W,0.00016402,0.000124777,0.000173773,0.000161986,9.39E-05,8.66E-05,5.98E-05,5.94E-05
YJR064W,0.000673551,0.000706245,0.00062639,0.000568216,0.000541579,0.000526052,0.000415827,0.000445356
YJR065C,0.000371678,0.000350721,0.00029843,0.000299341,0.000229587,0.000221638,0.000184439,0.00019647
YJR068W,6.05E-05,5.58E-05,4.29E-05,3.77E-05,2.24E-05,2.68E-05,2.73E-05,2.87E-05
YJR069C,9.66E-05,8.76E-05,0.000109715,0.000106462,0.000102394,0.00010722,0.000102797,0.000101197
YJR072C,0.000109926,0.000104562,0.000101385,0.000104976,8.07E-05,7.80E-05,5.84E-05,6.30E-05
YJR076C,0.000114615,0.000115795,9.62E-05,0.000108853,9.35E-05,9.96E-05,7.31E-05,7.60E-05
YJR077C,0.001608442,0.001704402,0.001408044,0.001427211,0.00153039,0.001596381,0.001281091,0.001331784
YJR080C,3.51E-05,4.14E-05,2.76E-05,2.80E-05,3.04E-05,2.93E-05,2.28E-05,2.70E-05
YJR088C,0.000120497,0.000120639,9.92E-05,9.17E-05,6.71E-05,7.64E-05,4.86E-05,5.71E-05
YJR103W,1.23E-05,1.11E-05,1.35E-05,1.26E-05,1.12E-05,1.02E-05,8.20E-06,1.47E-05
YJR104C,0.00163086,0.001405616,0.002241767,0.001596742,0.001359199,0.001195989,0.001876853,0.001748362
YJR105W,0.000434965,0.000499318,0.000605559,0.000477009,0.000455816,0.000510686,0.000795346,0.000713592
YJR109C,0.00250253,0.00295008,0.002691754,0.002614978,0.001829823,0.001930242,0.003102474,0.003322229
YJR117W,0.000194725,0.000169836,0.000169196,0.000162018,0.000168137,0.000143282,0.000158621,0.000171382
YJR121W,0.002428832,0.002581989,0.002411588,0.002507807,0.002718527,0.002799657,0.002411344,0.002647794
YJR123W,0.006691325,0.007036905,0.006259372,0.006281703,0.005989326,0.005651197,0.006066362,0.005206062
YJR125C,5.71E-05,5.69E-05,6.84E-05,6.08E-05,6.13E-05,6.33E-05,4.05E-05,5.15E-05
YJR133W,3.69E-05,4.06E-05,4.21E-05,2.97E-05,4.44E-05,4.05E-05,4.19E-05,4.12E-05
YJR135W-A,4.65E-05,4.61E-05,4.32E-05,4.88E-05,4.70E-05,5.11E-05,4.47E-05,4.65E-05
YJR137C,0.003032997,0.003231743,0.003366522,0.003412621,0.003846005,0.003752783,0.00437609,0.004561967
YJR139C,0.001916793,0.001917284,0.001954547,0.002067497,0.002354551,0.002535914,0.002426675,0.002576429
YJR143C,9.48E-05,0.000107369,9.17E-05,7.91E-05,8.55E-05,8.77E-05,0.000100575,8.52E-05
YJR144W,0.000120466,0.000124442,8.50E-05,9.22E-05,6.37E-05,6.95E-05,4.64E-05,5.40E-05
YJR148W,7.85E-05,8.10E-05,4.39E-05,3.56E-05,2.79989E-05,2.17E-05,1.61E-05,2.03E-05
YKL001C,0.00067001,0.000709699,0.000615096,0.000609098,0.000723503,0.000659537,0.000705433,0.000704415
YKL006W,0.000595419,0.000601085,0.000692868,0.000683523,0.000649048,0.000590844,0.000476098,0.000510714
YKL007W,0.000162222,0.000168128,0.000130352,0.000130814,8.65E-05,9.29E-05,8.15E-05,7.98E-05
YKL009W,0.000311778,0.000355758,0.000304633,0.000292287,0.000256924,0.000243277,0.000256085,0.00023974
YKL010C,3.99E-05,4.22E-05,2.86E-05,2.21E-05,1.41E-05,1.26E-05,6.38E-06,6.89E-06
YKL013C,0.000103435,9.98E-05,7.64E-05,7.53E-05,6.23E-05,6.20E-05,5.25E-05,5.05E-05
YKL014C,0.000365935,0.000346504,0.000339444,0.000308527,0.000244397,0.000253895,0.000159168,0.000205088
YKL016C,0.000218772,0.000217316,0.000188276,0.000196575,0.000201616,0.000199304,0.000213475,0.000221037
YKL021C,0.000219964,0.000209929,0.000196463,0.000202363,0.000160882,0.000165551,0.000130031,0.00012797
YKL027W,0.000171746,0.000169643,0.000132083,0.00012983,9.51E-05,9.50E-05,7.23E-05,8.18E-05
YKL029C,0.001173268,0.001187316,0.001372502,0.001346416,0.001362187,0.001363375,0.001552003,0.001543635
YKL035W,0.000385724,0.000400666,0.000312854,0.000351621,0.000338713,0.000362435,0.000394906,0.00033942
YKL040C,9.65E-05,8.98E-05,9.06E-05,7.94E-05,6.89E-05,6.36E-05,5.43E-05,6.25E-05
YKL054C,0.000176622,0.000160787,0.000203637,0.000206302,0.000207582,0.000204587,0.000212743,0.000251655
YKL056C,0.002518597,0.002503644,0.002630874,0.002603349,0.00226521,0.002284106,0.001845124,0.002128081
YKL057C,0.000100183,9.78E-05,8.38E-05,7.55E-05,5.95E-05,3.69E-05,1.93E-05,4.59E-05
YKL060C,0.009270734,0.009557863,0.010663809,0.010304563,0.013895713,0.013192999,0.016197249,0.016621873
YKL067W,0.000301695,0.00030519,0.000232635,0.000219632,0.000188236,0.00019774,0.000234096,0.000202955
YKL073W,3.81E-05,4.35E-05,3.32E-05,2.80E-05,3.14E-05,3.32E-05,3.26E-05,3.77E-05
YKL077W,5.57E-05,6.75E-05,5.11E-05,5.70E-05,4.45E-05,4.79E-05,3.88E-05,3.24E-05
YKL080W,0.000665286,0.000666484,0.000607514,0.000644512,0.000576399,0.000622331,0.00047151,0.000509869
YKL081W,0.002520052,0.002322195,0.002634605,0.002669916,0.002905463,0.002837334,0.002832553,0.003178392
YKL085W,0.000307339,0.000315407,0.000242179,0.000233449,0.000266119,0.000285104,0.000335409,0.00032996
YKL094W,8.45E-05,9.43E-05,7.62E-05,7.33E-05,4.98E-05,5.04E-05,3.52E-05,4.20E-05
YKL096W,9.63E-05,0.000105904,0.000107009,8.95E-05,8.76E-05,0.000132301,6.51E-05,8.25E-05
YKL103C,9.07E-05,8.80E-05,6.73E-05,8.76E-05,9.77E-05,7.85E-05,0.000113166,0.000104287
YKL104C,0.000715604,0.000743825,0.000618667,0.00061024,0.000502953,0.000531045,0.000444781,0.00048629
YKL112W,4.17E-05,4.36E-05,4.64E-05,4.41E-05,4.64E-05,3.87E-05,3.91E-05,4.14E-05
YKL113C,5.13E-05,5.00E-05,4.41E-05,4.50E-05,4.10E-05,3.62E-05,3.25E-05,3.38E-05
YKL117W,0.000124311,0.000103258,0.000113932,0.00010803,8.83E-05,8.01E-05,9.41E-05,0.000107292
YKL120W,0.00036576,0.000351435,0.000373941,0.000364555,0.000369087,0.000357786,0.00032453,0.000372777
YKL126W,6.64E-05,8.10E-05,6.05E-05,6.76E-05,5.08E-05,5.53E-05,4.39E-05,5.15E-05
YKL127W,0.000150759,0.000135798,0.000143513,0.000156697,0.000158168,0.000165526,0.000132376,0.000139499
YKL129C,1.53E-05,1.86E-05,1.16E-05,1.00E-05,3.36E-06,9.29E-06,9.42E-06,8.49E-06
YKL142W,0.000192158,0.000201488,0.000174475,0.000160174,0.000133933,0.000136242,0.000135113,0.000129721
YKL145W,0.000531373,0.000556087,0.000455522,0.00043733,0.000352538,0.000366501,0.000284372,0.000272437
YKL148C,6.87E-05,7.02E-05,6.14E-05,5.87E-05,6.15E-05,6.65E-05,7.26E-05,7.19E-05
YKL150W,0.00024091,0.000282108,0.000213038,0.000208318,0.000169131,0.000195558,0.000159875,0.000176561
YKL152C,0.008550423,0.007659051,0.009169098,0.010051429,0.010915214,0.011062745,0.011662481,0.011157547
YKL154W,2.47E-05,3.04E-05,2.13E-05,2.01E-05,2.16E-05,2.11E-05,2.15E-05,1.78E-05
YKL156W,0.003203093,0.00309858,0.003081004,0.003162859,0.003232134,0.00304602,0.002936092,0.003030347
YKL157W,0.000315266,0.000301703,0.000268841,0.000274878,0.00027002,0.000267817,0.000296078,0.000284611
YKL172W,0.000136474,0.000131176,0.000130247,0.000154902,0.000123869,0.000128215,0.000117195,0.000113255
YKL180W,0.000677438,0.000425033,0.000377358,0.000378335,0.000313798,0.000403005,0.000399687,0.000291379
YKL181W,0.000215357,0.000228777,0.000234983,0.000224334,0.000216473,0.000227602,0.000197558,0.000227559
YKL182W,0.004026857,0.004053798,0.004724278,0.004692543,0.004582488,0.004551274,0.004055556,0.00457179
YKL190W,8.52E-05,7.62E-05,5.16E-05,5.07E-05,4.35E-05,4.10E-05,3.81E-05,4.24E-05
YKL193C,8.32E-05,8.97E-05,6.79E-05,7.52E-05,5.58E-05,5.18E-05,3.37E-05,4.89E-05
YKL195W,0.000113817,9.40E-05,9.07E-05,7.90E-05,7.60E-05,7.68E-05,7.73E-05,9.09E-05
YKL196C,0.000242113,0.000221458,0.000273421,0.000242467,0.000195982,0.000188388,0.000177186,0.000178015
YKL204W,3.91E-05,4.44E-05,4.32E-05,4.95E-05,4.25E-05,4.18E-05,3.54E-05,5.16E-05
YKL210W,0.001135694,0.001168579,0.001130796,0.001114168,0.001093803,0.001071433,0.000894551,0.00093463
YKL211C,0.000356985,0.00039685,0.000427276,0.000438777,0.000391288,0.000410597,0.000388976,0.000382712
YKL212W,0.000370271,0.000373607,0.000362033,0.000331934,0.000309283,0.000339447,0.000296644,0.000317599
YKL213C,0.00014766,0.000148113,0.000130033,0.00012558,9.35E-05,9.80E-05,6.63E-05,8.17E-05
YKL215C,7.25E-05,8.22E-05,6.40E-05,6.99E-05,5.25E-05,5.37E-05,4.30E-05,4.24E-05
YKL216W,0.000105388,0.000119857,0.000157082,0.00016199,0.000182257,0.000211175,0.000179748,0.000163902
YKL218C,8.49E-05,8.52E-05,8.70E-05,8.69E-05,8.78E-05,6.99E-05,8.43E-05,8.64E-05
YKR001C,0.00051507,0.000504415,0.000497811,0.0004881,0.000458406,0.000472995,0.000409538,0.00045003
YKR002W,6.88E-05,8.14E-05,5.45E-05,6.48E-05,4.61E-05,3.85E-05,2.82E-05,3.41E-05
YKR008W,4.45E-05,4.69E-05,4.33E-05,4.43E-05,3.45E-05,3.74E-05,2.72E-05,3.05E-05
YKR014C,0.000130388,0.000134812,0.000105471,0.000116287,8.07E-05,8.14E-05,6.63E-05,6.76E-05
YKR016W,0.000146377,0.00015489,0.000119356,0.000125225,9.43E-05,0.000103158,9.14E-05,9.72E-05
YKR018C,0.000203755,0.000234704,0.000200339,0.000193544,0.000157524,0.00016079,9.52E-05,0.000127123
YKR026C,5.35E-05,4.92E-05,5.08E-05,5.19E-05,3.32E-05,3.51E-05,2.21E-05,2.79E-05
YKR028W,2.32E-05,1.71E-05,2.62E-05,2.33E-05,2.11E-05,2.28E-05,2.43E-05,2.98E-05
YKR043C,0.000300802,0.000306035,0.000332711,0.000326586,0.000278697,0.000249548,0.00022597,0.000214779
YKR046C,0.000575467,0.00051806,0.000505645,0.000507326,0.000348953,0.000318199,0.000284863,0.000294283
YKR048C,0.000432318,0.000450232,0.000403558,0.000380312,0.000323329,0.000343527,0.000245524,0.000253231
YKR057W,0.000131057,0.000144261,0.000172758,0.000135682,0.000155198,0.000155132,0.000167505,0.000159389
YKR059W,0.004695336,0.005155637,0.005236395,0.00502912,0.005654924,0.005563673,0.005463455,0.005582461
YKR060W,2.46E-05,2.57E-05,2.24E-05,2.01E-05,1.87E-05,1.97E-05,1.25E-05,1.43E-05
YKR066C,7.32E-05,5.56E-05,6.23E-05,5.49E-05,4.08E-05,4.34E-05,4.37E-05,3.24E-05
YKR069W,0.000195936,0.000155283,0.000153538,0.000164336,0.000138332,0.000141279,0.000117748,0.000133643
YKR071C,8.43E-05,7.78E-05,0.000101139,0.000109735,0.00010134,9.31E-05,8.70E-05,8.93E-05
YKR080W,0.000294901,0.000302468,0.000438687,0.000364507,0.000493116,0.00046616,0.000408078,0.000396556
YKR081C,6.23E-05,6.67E-05,7.00E-05,8.19E-05,7.93E-05,7.97E-05,7.40E-05,7.37E-05
YKR082W,0.000178662,0.000175962,0.000139535,0.000132796,0.000110873,0.000109741,7.87E-05,8.41E-05
YKR084C,0.000132676,0.000140402,0.000109949,0.000103044,7.64E-05,8.77E-05,6.03E-05,7.12E-05
YKR094C,0.000121935,0.000195831,0.000164551,0.000190475,0.000157001,0.000119852,0.00011274,0.000140781
YKR095W,3.81E-05,4.66E-05,3.53E-05,4.79E-05,3.51E-05,3.89E-05,2.20E-05,3.03E-05
YLL001W,0.000296865,0.000320393,0.000257197,0.000259563,0.000200201,0.000219308,0.000161208,0.000160225
YLL008W,0.00017729,0.000175466,0.000173387,0.000177649,0.000146263,0.000154524,6.98E-05,0.00010845
YLL011W,0.000105471,0.000111828,9.85E-05,9.96E-05,8.77E-05,8.14E-05,6.47E-05,6.44E-05
YLL018C,0.001856627,0.00177065,0.001634763,0.001763758,0.00163646,0.001587674,0.001677347,0.00167101
YLL021W,8.43E-05,9.19E-05,8.46E-05,7.64E-05,7.19E-05,8.14E-05,5.61E-05,5.96E-05
YLL026W,0.001462508,0.001334045,0.000914473,0.000917674,0.000635059,0.000635906,0.000479529,0.000455612
YLL028W,7.42E-05,7.79E-05,8.24E-05,6.56E-05,6.35E-05,7.23E-05,6.03E-05,6.44E-05
YLL029W,0.000147975,0.000146364,0.000106255,0.000110046,6.94E-05,7.52E-05,3.81E-05,6.46E-05
YLL034C,9.57E-05,9.78E-05,8.12E-05,8.25E-05,6.67E-05,7.39E-05,5.83E-05,6.02E-05
YLL036C,5.38E-05,5.32E-05,4.56012E-05,4.53E-05,3.73E-05,3.47E-05,2.47E-05,2.63E-05
YLL040C,8.81E-05,0.000101615,8.19E-05,7.87E-05,6.02E-05,6.16E-05,4.55E-05,5.22E-05
YLL041C,6.03E-05,6.09E-05,4.11E-05,3.77E-05,2.93E-05,3.51E-05,4.44E-05,4.63E-05
YLL045C,0.00121259,0.001293526,0.000936058,0.000906906,0.000904906,0.000655362,0.000961652,0.000825308
YLL048C,0.000179711,0.000178881,0.000149942,0.000139877,0.000125746,0.00013096,0.000136301,0.000136003
YLL050C,0.000926571,0.000907425,0.000979213,0.000958125,0.00093724,0.000954878,0.001014442,0.000999981
YLL062C,0.000129119,0.000135294,9.90E-05,8.74E-05,4.96E-05,4.88E-05,3.69E-05,3.66E-05
YLR002C,7.29E-05,7.13E-05,6.06E-05,6.54E-05,4.82E-05,4.46E-05,3.23E-05,3.25E-05
YLR017W,0.000138428,0.000153232,0.000125154,0.000133285,0.00011763,0.000112212,9.52E-05,9.74E-05
YLR022C,0.000142479,0.000153665,0.000112992,0.000104387,6.92E-05,7.62E-05,4.36E-05,5.09E-05
YLR025W,4.92E-05,5.00E-05,4.51E-05,4.55E-05,3.85E-05,3.47E-05,2.86E-05,2.79E-05
YLR026C,2.29E-05,2.27E-05,1.95E-05,2.03E-05,1.59E-05,1.53E-05,1.37E-05,1.63E-05
YLR027C,0.001819251,0.002235563,0.002071085,0.001990408,0.001525396,0.001439314,0.001555499,0.001473998
YLR028C,0.000378705,0.000363672,0.000323363,0.00031819,0.000282399,0.000284997,0.000241481,0.000263649
YLR029C,0.0042687,0.004121425,0.003663258,0.003681426,0.003608388,0.003556573,0.003658352,0.003325498
YLR033W,5.29E-05,5.05E-05,4.45E-05,4.52E-05,3.69E-05,3.16E-05,2.15E-05,3.08E-05
YLR043C,0.000177584,0.000171127,0.00031658,0.000249486,0.000205508,0.000194878,0.000324389,0.000339857
YLR044C,0.03137981,0.029712105,0.029572599,0.030905496,0.030959284,0.028923581,0.029169763,0.030488008
YLR048W,0.000219342,0.000266495,0.0003081,0.000260082,0.000253761,0.00028798,0.000190038,0.000263255
YLR058C,0.005868705,0.006302979,0.008922533,0.008427749,0.010282478,0.009819188,0.009477984,0.009646835
YLR060W,0.001349106,0.001320856,0.0011721,0.001185423,0.001002084,0.001010118,0.001000586,0.000844791
YLR061W,0.001947787,0.002022462,0.001872951,0.001857429,0.00191442,0.002014665,0.001676066,0.001589539
YLR066W,7.23E-05,8.47E-05,6.04E-05,6.23E-05,4.87E-05,4.85E-05,5.57E-05,5.60E-05
YLR069C,5.93E-05,6.88E-05,5.60E-05,7.34E-05,6.78E-05,6.31E-05,6.58E-05,7.16E-05
YLR075W,0.006158191,0.006757029,0.006268303,0.006023321,0.005648571,0.005221644,0.005440766,0.005424072
YLR083C,2.98E-05,2.44E-05,2.83E-05,2.36E-05,2.60E-05,2.57E-05,2.03E-05,3.51E-05
YLR089C,9.58E-05,9.87E-05,8.81E-05,8.36E-05,6.15E-05,6.63E-05,5.15E-05,5.25E-05
YLR095C,3.27E-05,3.05E-05,2.47E-05,2.95E-05,1.54E-05,1.82E-05,9.26E-06,2.06E-05
YLR100W,0.00019801,0.000201835,0.000195258,0.000189377,0.000139179,0.000130352,9.93E-05,0.000118009
YLR106C,6.32E-05,6.93E-05,9.59E-05,9.89E-05,9.74E-05,8.21E-05,7.88E-05,8.67E-05
YLR109W,0.001265482,0.001333198,0.001814319,0.001370461,0.001574967,0.001797221,0.002491475,0.002325127
YLR113W,0.000106648,0.000109692,0.000116152,9.39E-05,8.93E-05,9.59E-05,8.87E-05,9.00E-05
YLR129W,0.000172691,0.000177478,0.000148742,0.000146293,0.000128119,0.000109082,7.66E-05,9.70E-05
YLR133W,6.97E-05,5.77E-05,7.15E-05,6.74E-05,7.07E-05,7.02E-05,3.70E-05,4.75E-05
YLR143W,5.99E-05,6.08E-05,4.99E-05,4.95E-05,3.78E-05,3.04E-05,1.34E-05,3.20E-05
YLR150W,0.003156063,0.003135062,0.003363861,0.003425925,0.003491543,0.003376034,0.003876169,0.004070501
YLR153C,0.00177843,0.001908109,0.002131854,0.002131364,0.002514108,0.002390002,0.002566329,0.002536176
YLR163C,5.37E-05,5.30E-05,4.69E-05,4.94E-05,3.78E-05,4.46E-05,2.39E-05,3.04E-05
YLR167W,0.001209013,0.001366063,0.001303914,0.001159193,0.001270523,0.001147774,0.000987526,0.001064766
YLR172C,0.00027422,0.000290921,0.000281342,0.000302522,0.000289923,0.000266879,0.000243534,0.000237753
YLR175W,0.000618923,0.0006425,0.000647746,0.000619732,0.000598527,0.000646103,0.000630013,0.000624989
YLR179C,5.06E-05,5.90E-05,7.54E-05,5.15E-05,4.23E-05,3.51E-05,7.37E-05,5.68E-05
YLR180W,0.002641544,0.002591404,0.002946747,0.0027106,0.003555573,0.003468972,0.003667173,0.004103712
YLR186W,0.00019254,0.000190695,0.000181857,0.00018244,0.000165086,0.00016342,0.000176574,0.000157343
YLR192C,0.000222931,0.000231002,0.000239011,0.000264016,0.000238595,0.000259352,0.000177726,0.000210503
YLR195C,0.000130157,0.00013672,0.000128611,0.000116048,0.000107976,0.000103868,8.26E-05,9.28E-05
YLR196W,0.000211171,0.000220412,0.000193919,0.000200335,0.000172946,0.000196232,0.000169512,0.000186685
YLR197W,0.001419001,0.00140525,0.001420387,0.001442337,0.001385335,0.001441172,0.001319888,0.001365493
YLR199C,5.88E-05,5.79E-05,3.85E-05,4.07E-05,1.85E-05,2.14E-05,1.09E-05,2.15E-05
YLR206W,2.72E-05,1.48E-05,1.66E-05,1.66E-05,1.55E-05,1.12E-05,1.01E-05,1.57E-05
