Systematic ID	Gene name	Product description	UniProt ID
SPBC2F12.09c	atf21	"DNA-binding transcription factor, Atf-CREB family Atf21"	P78962
SPAC4G8.13c	prz1	"DNA-binding transcription factor, calcineurin responsive Prz1"	Q09838
SPCC736.08	cbf11	"DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf11"	O74954
SPCC1223.13	cbf12	"DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf12"	O74412
SPAC23E2.01	fep1	"DNA-binding transcription factor, iron-sensing Fep1"	Q10134
SPAC11E3.06	map1	"DNA-binding transcription factor, MADS-box Map1"	P78926
SPBC19G7.06	mbx1	"DNA-binding transcription factor, MADS-box Mbx1"	O42954
SPBC317.01	mbx2	"DNA-binding transcription factor, MADS-box Pvg4"	Q9HGP0
SPBC336.12c	cdc10	"DNA-binding transcription factor, MBF transcription factor complex subunit Cdc10"	P01129
SPBC530.08		"DNA-binding transcription factor, membrane-tethered"	O59744
SPBC354.05c	sre2	"DNA-binding transcription factor, membrane-tethered Sre2"	O43019
SPCC584.02	cuf2	"DNA-binding transcription factor, middle-meiotic Cuf2"	O94588
SPAC31A2.11c	cuf1	"DNA-binding transcription factor, nutritional copper sensing Cuf1"	Q09728
SPAC1783.07c	pap1	"DNA-binding transcription factor, oxidative stress-responsive Pap1/Caf3"	Q01663
SPAC32A11.03c	phx1	"DNA-binding transcription factor, stationary phase-specific Phx1"	Q10328
SPBC19C2.09	sre1	"DNA-binding transcription factor, sterol regulatory element binding protein Sre1"	Q9UUD1
SPAC1399.05c	toe1	"DNA-binding transcription factor, zf-fungal binuclear cluster type"	Q9HE16
SPAC139.03	toe2	"DNA-binding transcription factor, zf-fungal binuclear cluster type"	Q9UTN0
SPAC11D3.07c	toe4	"DNA-binding transcription factor, zf-fungal binuclear cluster type"	Q10086
SPAC11D3.17		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	Q10096
SPAC1327.01c		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	Q1MTM9
SPAC1F7.11c		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	Q09922
SPAC2H10.01		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	O94392
SPBC16G5.16		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	O60130
SPBC16G5.17		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	O60131
SPBC1773.12		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	O94569
SPBC1773.16c		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	O94573
SPBC530.11c		"DNA-binding transcription factor, zf-fungal binuclear cluster type"	O59746
SPBC15D4.02	gsf1	"DNA-binding transcription factor, zf-fungal binuclear cluster type Gsf1"	O74308
SPAC1039.05c	klf1	"DNA-binding transcription factor, zf-fungal binuclear cluster type Klf1"	Q9US36
SPAPB1A11.04c	mca1	"DNA-binding transcription factor, zf-fungal binuclear cluster type Mca1"	Q9HDX1
SPCC1393.08	fil1	"DNA-binding transcription factor, zf-GATA type"	O94720
SPCC290.04	ams2	"DNA-binding transcription factor, zf-GATA-type Ams2"	Q9URT4
SPAC11D3.11c		"DNA-binding transcription factor, zn(2)-C6 fungal-type, truncated"	G2TRN9
SPBP4H10.09	rsv1	DNA-binding transcription repressor Rsv1	Q9P7D9
SPBC1D7.02c	scr1	DNA-binding transcription repressor Scr1	O14335
SPBC21C3.16c	spt4	DSIF transcription elongation factor complex subunit Spt4	Q9P7K8
SPAC23C4.19	spt5	DSIF transcription elongation factor complex subunit Spt5	O13936
SPAC6G9.15c	ebp1	Ell binding protein Ebp1	Q92360
SPBC1861.07	elc1	elongin C Elc1	Q9USX9
SPBC29A3.08	pof4	"elongin-A, F-box protein Pof4"	O59671
SPAC20H4.03c	tfs1	general transcription elongation factor TFIIS	P49373
SPBC16E9.15		"heat shock factor binding protein, implicated in trancriptional response to stress"	O14330
SPAC17G8.13c	mst2	histone acetyltransferase Mst2	Q10325
