organelle,R2_cv,R2_test,R2_mean
plasma membrane,0.4753287365248414,0.6452082154349836,0.5602684759799126
endoplasmic reticulum,0.6958179578923755,0.7034737306081619,0.6996458442502687
fungal-type vacuole,0.7770957415397749,0.6589780201669537,0.7180368808533644
nucleus,0.7155109425970675,0.8848886645573495,0.8001998035772084
cytosol,0.934290272998734,0.8463139221070272,0.8903020975528806
mitochondrion,0.9629802198328659,0.9048409743977797,0.9339105971153228
ribosome,0.9419138556200342,0.9363674453548929,0.9391406504874635
