Protein,Frequency,Gain_avg
YAL005C,10,1.4045205642459357
YHR174W,10,1.4045205642459357
YKL060C,10,1.4045205642459357
YLR044C,9,1.4176967809511996
YOL121C,9,1.3945394405435811
YLR075W,8,1.4022579193115008
YNL178W,7,1.4442064809827402
YPL262W,7,1.4363574908442942
YPR191W,7,1.4166959961792571
YLR344W,7,1.3944036839425
YGR192C,6,1.3917578670782969
YLR325C,5,1.4409632208368672
YAL038W,5,1.420116660405216
YLL045C,5,1.4196190946265443
YPL249C-A,5,1.3872133893617646
YKL152C,5,1.375890438270706
YCR012W,5,1.3221406067956032
YOR063W,5,1.315444029883303
YLR110C,4,1.5085008981498034
YOR374W,4,1.4393395266338553
YGR244C,4,1.423193799858066
YGR221C,3,1.5184985283587564
YGR148C,3,1.4872146411304232
YJR121W,3,1.4404976551781599
YKL114C,3,1.4400993368534634
YOL027C,3,1.3813921130829137
YBL092W,3,1.376111223068186
YOR142W,3,1.3716698566440078
YBL045C,3,1.3690210761920394
YPL231W,3,1.2682770622130346
YNL071W,2,1.486429342545036
YDR137W,2,1.4769595669419906
YBL099W,2,1.441042609468237
YNL292W,2,1.441042609468237
YBR159W,2,1.4136659468732664
YGL123W,2,1.4096927761953137
YNL096C,2,1.4096927761953137
YBR031W,2,1.390142645732845
YJR009C,2,1.3599582571710958
YKL016C,2,1.3142776105265872
YOL040C,2,1.297536168245836
YBR039W,1,1.5412076740687903
YDR298C,1,1.5412076740687903
YHL015W,1,1.5412076740687903
YIL053W,1,1.5412076740687903
YML024W,1,1.5412076740687903
YMR194W,1,1.5412076740687903
YDL195W,1,1.5199372334403511
YLR038C,1,1.5199372334403511
YEL054C,1,1.4943506775671276
YLR113W,1,1.4943506775671276
YNL007C,1,1.4943506775671276
YOR369C,1,1.4943506775671276
YBR118W,1,1.486454348878849
YGL103W,1,1.486454348878849
YPL078C,1,1.486454348878849
YMR027W,1,1.4785080075229442
YMR314W,1,1.4785080075229442
YPL134C,1,1.4785080075229442
YPR140W,1,1.4785080075229442
YDR097C,1,1.4339819004436296
YDR447C,1,1.4339819004436296
YER091C,1,1.4339819004436296
YKL009W,1,1.4339819004436296
YNL002C,1,1.4339819004436296
YBL022C,1,1.3553356541585968
YEL047C,1,1.3553356541585968
YHR196W,1,1.3553356541585968
YMR071C,1,1.3553356541585968
YNL055C,1,1.3553356541585968
YOR117W,1,1.3553356541585968
YER074W,1,1.3408775448676835
YGR207C,1,1.3408775448676835
YKL056C,1,1.3408775448676835
YLR388W,1,1.3408775448676835
YAR007C,1,1.285934613898562
YDR418W,1,1.285934613898562
YJR123W,1,1.285934613898562
YML036W,1,1.285934613898562
YOR133W,1,1.285934613898562
YOR335C,1,1.285934613898562
YLL026W,1,1.108617987612823
YML124C,1,1.108617987612823
YNL069C,1,1.108617987612823
YPR043W,1,1.108617987612823
