fold	min_protein_count	R2_cv	RMSE_cv	R2_test	RMSE_test	proteins
1	25	0.43240775063525766	0.014661267333044053	0.8211887197728396	0.012795192189100387	YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YPL231W;YPL262W;YAL005C;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YOR374W;YKL060C;YHR196W;YLR344W;YOL121C;YMR071C;YPR191W
1	26	0.4484200753455497	0.01440635790477506	0.8124788222048369	0.012595063165832317	YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YPL231W;YPL262W;YAL005C;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YKL150W;YOR374W;YKL060C;YHR196W;YLR344W;YOL121C;YMR071C;YPR191W
1	27	0.4591115206978284	0.014696317149917138	0.8083534388718198	0.013130706203454053	YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YPL231W;YPL262W;YAL005C;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YKL150W;YOR374W;YKL060C;YHR196W;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	28	0.5727079320742005	0.01392759636909781	0.8205245970836638	0.013219402685694355	YBR118W;YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YPL231W;YPL262W;YAL005C;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YKL150W;YOR374W;YKL060C;YHR196W;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	29	0.5737239296610204	0.012702857041237366	0.8260800276026323	0.012626057187482767	YBR118W;YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YPL231W;YPL262W;YAL005C;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YKL150W;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	30	0.5770937142710507	0.012181813740057584	0.8207109917126555	0.01234190718623385	YBR118W;YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YPL231W;YPL262W;YAL005C;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	31	0.638651344891045	0.012000026878843138	0.8218329834094323	0.012070915347682667	YBR118W;YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YPL231W;YPL262W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	32	0.6208525275981591	0.011774794409928024	0.8057387646592292	0.011944671030714584	YBR118W;YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	33	0.6011847489248752	0.012168913488762959	0.7825107046605535	0.013392327363776454	YBR118W;YPL249C-A;YOR063W;YLR075W;YNL178W;YLR388W;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YJR007W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	34	0.5783653099281573	0.01206341567681063	0.82152031067196	0.013935422392247583	YBR118W;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL178W;YLR388W;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YJR007W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
