sampleID	source	Ref	Simultation_with_ETFL	Strain	growth_mode	condition_detail	growth_media	dilution rate (/h)	qGlucose (mmol/gDW h)	qNH4 (mmol/gDW h)	qGln (mmol/gDW h)	qPhe (mmol/gDW h)	qIle (mmol/gDW h)	qNitrogen (mmol/gDW h)	qEtOH (mmol/gDW h)	qAce (mmol/gDW h)	qPyr (mmol/gDW h)	qSuc (mmol/gDW h)	qGlycerol (mmol/gDW h)	qCO2 (mmol/gDW h)	qO2 (mmol/gDW h)	glucose.H2O concentration (g/L)	Nitrogen source	nitrogen source concentration (g/L)	limiting nutrient	C/N ratio	experiment subset	total RNA content (g/gDW)	total protein content (g/gDW)	extra notes
S1_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-2	YES	S. cerevisiae	chemostat	D=0.027_M	minimal mineral medium 	0.027	-0.337	-0.151308115					0					0.878	0.863581701		NH4		C				0.299	
S2_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-2	YES	S. cerevisiae	chemostat	D=0.027_M	minimal mineral medium 	0.027	-0.337	-0.151308115					0					0.878	0.863581701		NH4		C				0.299	
S3_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-2	YES	S. cerevisiae	chemostat	D=0.027_M	minimal mineral medium 	0.027	-0.337	-0.151308115					0					0.878	0.863581701		NH4		C				0.299	
S4_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-5	YES	S. cerevisiae	chemostat	D=0.044_M	minimal mineral medium 	0.044	-0.523	-0.222200728					0					1.458	1.436826274		NH4		C				0.312	
S5_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-5	YES	S. cerevisiae	chemostat	D=0.044_M	minimal mineral medium 	0.044	-0.523	-0.222200728					0					1.458	1.436826274		NH4		C				0.312	
S6_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-5	YES	S. cerevisiae	chemostat	D=0.044_M	minimal mineral medium 	0.044	-0.523	-0.222200728					0					1.458	1.436826274		NH4		C				0.312	
S7_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-8	YES	S. cerevisiae	chemostat	D=0.102_M	minimal mineral medium 	0.102	-1.171	-0.592403012					0					2.547	2.490549334		NH4		C				0.371	
S8_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-8	YES	S. cerevisiae	chemostat	D=0.102_M	minimal mineral medium 	0.102	-1.171	-0.592403012					0					2.547	2.490549334		NH4		C				0.371	
S9_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-8	YES	S. cerevisiae	chemostat	D=0.102_M	minimal mineral medium 	0.102	-1.171	-0.592403012					0					2.547	2.490549334		NH4		C				0.371	
S10_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-11	YES	S. cerevisiae	chemostat	D=0.152_M	minimal mineral medium 	0.152	-1.683	-0.815725614					0					3.815189143	3.855		NH4		C				0.419	
S11_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-11	YES	S. cerevisiae	chemostat	D=0.152_M	minimal mineral medium 	0.152	-1.683	-0.815725614					0					3.815189143	3.855		NH4		C				0.419	
S12_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-11	YES	S. cerevisiae	chemostat	D=0.152_M	minimal mineral medium 	0.152	-1.683	-0.815725614					0					3.815189143	3.855		NH4		C				0.419	
S13_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-14	YES	S. cerevisiae	chemostat	D=0.214_M	minimal mineral medium 	0.214	-2.477	-1.225675087					-3.40444E-12					5.595	5.478204215		NH4		C				0.32	
S14_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-14	YES	S. cerevisiae	chemostat	D=0.214_M	minimal mineral medium 	0.214	-2.477	-1.225675087					-3.40444E-12					5.595	5.478204215		NH4		C				0.32	
S15_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-14	YES	S. cerevisiae	chemostat	D=0.214_M	minimal mineral medium 	0.214	-2.477	-1.225675087					-3.40444E-12					5.595	5.478204215		NH4		C				0.32	
S16_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-17	YES	S. cerevisiae	chemostat	D=0.254_M	minimal mineral medium 	0.254	-2.862	-1.413619869					7.38051E-12					6.484	6.249		NH4		C				0.378	
S17_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-17	YES	S. cerevisiae	chemostat	D=0.254_M	minimal mineral medium 	0.254	-2.862	-1.413619869					7.38051E-12					6.484	6.249		NH4		C				0.378	
S18_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-17	YES	S. cerevisiae	chemostat	D=0.254_M	minimal mineral medium 	0.254	-2.862	-1.413619869					7.38051E-12					6.484	6.249		NH4		C				0.378	
S19_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-20	YES	S. cerevisiae	chemostat	D=0.284_M	minimal mineral medium 	0.284	-3.205	-1.473534708					-3.41119E-12					8.089	7.948585428		NH4		C				0.391	
S20_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-20	YES	S. cerevisiae	chemostat	D=0.284_M	minimal mineral medium 	0.284	-3.205	-1.473534708					-3.41119E-12					8.089	7.948585428		NH4		C				0.391	
S21_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-20	YES	S. cerevisiae	chemostat	D=0.284_M	minimal mineral medium 	0.284	-3.205	-1.473534708					-3.41119E-12					8.089	7.948585428		NH4		C				0.391	
S22_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-23	YES	S. cerevisiae	chemostat	D=0.334_M	minimal mineral medium 	0.334	-5.235	-1.992532123					2.083					11.873	9.607729653		NH4		C				0.419	
S23_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-23	YES	S. cerevisiae	chemostat	D=0.334_M	minimal mineral medium 	0.334	-5.235	-1.992532123					2.083					11.873	9.607729653		NH4		C				0.419	
S24_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-23	YES	S. cerevisiae	chemostat	D=0.334_M	minimal mineral medium 	0.334	-5.235	-1.992532123					2.083					11.873	9.607729653		NH4		C				0.419	
S25_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-26	YES	S. cerevisiae	chemostat	D=0.379_M	minimal mineral medium 	0.379	-6.957	-2.015533471					5.539					14.30413345	8.898		NH4		C				0.391	
S26_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-26	YES	S. cerevisiae	chemostat	D=0.379_M	minimal mineral medium 	0.379	-6.957	-2.015533471					5.539					14.30413345	8.898		NH4		C				0.391	
S27_carbon_limit	sysbio_Jianye	https://doi.org/10.1038/s41467-022-30513-26	YES	S. cerevisiae	chemostat	D=0.379_M	minimal mineral medium 	0.379	-6.957	-2.015533471					5.539					14.30413345	8.898		NH4		C				0.391	
REF	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
EtOH  20g/L	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
EtOH  40g/L	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
EtOH  60g/L	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
Osmo 0.2 M (NaCl)	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
Osmo 0.4 M (NaCl)	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
Osmo 0.6 M (NaCl)	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
Temp 33C	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
Temp 36C	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
Temp 38C	sysbio	http://dx.doi.org/10.1016/j.cels.2017.03.003	NO	S. cerevisiae	chemostat		minimal mineral medium 	0.1																						
maltose(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
oleate(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
fructose(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
sucrose(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
trehalose(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
lactate(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
acetate(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
pryuvate(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
glycerol(mmol/gDW)	Joao A. Paulo	https://doi.org/10.1016/j.jprot.2016.07.005	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
galactose(mmol/gDW)	Joao A Paulo	https://doi.org/10.1091/mbc.E15-07-0499	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
raffinose(mmol/gDW)	Joao A Paulo	https://doi.org/10.1091/mbc.E15-07-0499	YES	S. cerevisiae	batch		"The yeast minimal media was comprised of yeast nitrogenous base with amino acids, ammonium sulfate, and the appropriate carbon source, which containing either 2% glucose, 2% maltose, 0.125% oleate, 2% fructose, 2% sucrose, 2% trehalose, 2% lactate, 2% acetate, 2% pyruvate and 2% glycerol as the carbon source."	None															NH4							
S1	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@2min	Delft minimal medium	None																						
S2	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@2min	Delft minimal medium	None																						
S3	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@2min	Delft minimal medium	None																						
S4	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@5min	Delft minimal medium	None																						
S5	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@5min	Delft minimal medium	None																						
S6	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@5min	Delft minimal medium	None																						
S7	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@37min	Delft minimal medium	None																						
S8	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@37min	Delft minimal medium	None																						
S9	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@37min	Delft minimal medium	None																						
S10	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@40min	Delft minimal medium	None																						
S11	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@40min	Delft minimal medium	None																						
S12	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@40min	Delft minimal medium	None																						
S13	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@60min	Delft minimal medium	None																						
S14	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@60min	Delft minimal medium	None																						
S15	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@60min	Delft minimal medium	None																						
S16	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@68min	Delft minimal medium	None																						
S17	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@68min	Delft minimal medium	None																						
S18	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@68min	Delft minimal medium	None																						
S19	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@93min	Delft minimal medium	None																						
S20	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@93min	Delft minimal medium	None																						
S21	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@93min	Delft minimal medium	None																						
S22	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@109min	Delft minimal medium	None																						
S23	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@115min	Delft minimal medium	None																						
S24	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@S@103min	Delft minimal medium	None																						
S25	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@138min	Delft minimal medium	None																						
S26	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@138min	Delft minimal medium	None																						
S27	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G2/M@138min	Delft minimal medium	None																						
S28	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@158min	Delft minimal medium	None																						
S29	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@158min	Delft minimal medium	None																						
S30	sysbio_kate	www.pnas.org/cgi/doi/10.1073/pnas.1919535117	NO	S. cerevisiae  CEN.PK113-7D Dlys1::KANMX		cell_cycle@G1@158min	Delft minimal medium	None																						
C-lim rep1 prot (fmol mgDW-1)	sysbio	https://doi.org/10.1038/s41467-020-15749-0	NO	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.2@NH4@C_limit@C_N_ratio=3		0.2														7.5	NH4	5						
C-lim rep2 prot (fmol mgDW-1)	sysbio	https://doi.org/10.1038/s41467-020-15749-0	NO	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.2@NH4@C_limit@C_N_ratio=3		0.2														7.5	NH4	5						
C/N=115 rep1 prot (fmol mgDW-1)	sysbio	https://doi.org/10.1038/s41467-020-15749-0	NO	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.2@NH4@N_limit@C_N_ratio=115		0.2														7.5	NH4	0.125						
C/N=115 rep2 prot (fmol mgDW-1)	sysbio	https://doi.org/10.1038/s41467-020-15749-0	NO	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.2@NH4@N_limit@C_N_ratio=115		0.2														7.5	NH4	0.125						
C/N=30 rep1 prot (fmol mgDW-1)	sysbio	https://doi.org/10.1038/s41467-020-15749-0	NO	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.2@NH4@N_limit@C_N_ratio=30		0.2														7.5	NH4	0.5						
C/N=30 rep2 prot (fmol mgDW-1)	sysbio	https://doi.org/10.1038/s41467-020-15749-0	NO	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.2@NH4@N_limit@C_N_ratio=30		0.2														7.5	NH4	0.5						
C/N=50 rep1 prot (fmol mgDW-1)	sysbio	https://doi.org/10.1038/s41467-020-15749-0	NO	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.2@NH4@N_limit@C_N_ratio=50		0.2														7.5	NH4	0.29						
C/N=50 rep2 prot (fmol mgDW-1)	sysbio	https://doi.org/10.1038/s41467-020-15749-0	NO	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.2@NH4@N_limit@C_N_ratio=50		0.2														7.5	NH4	0.29						
Trehalose_1_miu=0.052	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.052																						
Trehalose_2_miu=0.051	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.051																						
Trehalose_b1_miu=0.048	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.048																						
Trehalose_b2_miu=0.047	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.047																						
Galactose_miu=0.165	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.165																						
Galactose_b_miu=0.182	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.182																						
Maltose_miu=0.275	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.275																						
Maltose_b_miu=0.291	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.291																						
Glucose_miu=0.373	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.373																						
Glucose_b_miu=0.369	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.369																						
translation_inhibitor_miu=0.121	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.121																						
translation_inhibitor.1_miu=0.106	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.106																						
translation_inhibitor.2_miu=0.2	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.2																						
translation_inhibitor.3_miu=0.201	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.201																						
translation_inhibitor.4_miu=0.327	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.327																						
translation_inhibitor.5_miu=0.318	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.318																						
translation_inhibitor.6_miu=0.421	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.421																						
translation_inhibitor.7_miu=0.399	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	batch			0.399																						
Chemostats_C_limit_miu=0.196	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.196																						
Chemostats_C_limit.1_miu=0.202	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.202																						
Chemostats_C_limit.2_miu=0.229	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.229																						
Chemostats_C_limit.3_miu=0.225	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.225																						
Chemostats_C_limit.4_miu=0.268	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.268																						
Chemostats_C_limit.5_miu=0.273	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.273																						
Chemostats_C_limit.6_miu=0.303	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.303																						
Chemostats_C_limit.7_miu=0.302	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.302																						
Chemostats_C_limit.8_miu=0.3	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.3																						
Chemostats_C_limit.9_miu=0.301	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.301																						
Chemostats_C_limit.10_miu=0.316	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.316																						
Chemostats_C_limit.11_miu=0.32	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.32																						
Chemostats_C_limit.12_miu=0.337	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.337																						
Chemostats_C_limit.13_miu=0.34	Ibrahim E. Elsemman	https://doi.org/10.1038/s41467-022-28467-6 	NO	S. cerevisiae	chemostat			0.34																						
sce_FY4_batch_miu=0.255	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch			0.255																						
sce_FY4_P1_miu=0.08	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.08																						
sce_FY4_P2_miu=0.16	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.16																						
sce_FY4_P3_miu=0.22	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.22																						
sce_FY4_P4_miu=0.28	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.28																						
sce_FY4_N1_miu=0.08	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.08																						
sce_FY4_N2_miu=0.16	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.16																						
sce_FY4_N3_miu=0.22	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.22																						
sce_FY4_N4_miu=0.28	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.28																						
sce_FY4_C1_miu=0.08	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.08																						
sce_FY4_C2_miu=0.16	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.16																						
sce_FY4_C3_miu=0.22	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.22																						
