sampleID	source	Ref	Simultation_with_ETFL	Strain	growth_mode	condition_detail	growth_media	dilution rate (/h)	qGlucose (mmol/gDW h)	qNH4 (mmol/gDW h)	qGln (mmol/gDW h)	qPhe (mmol/gDW h)	qIle (mmol/gDW h)	qNitrogen (mmol/gDW h)	qEtOH (mmol/gDW h)	qAce (mmol/gDW h)	qPyr (mmol/gDW h)	qSuc (mmol/gDW h)	qGlycerol (mmol/gDW h)	qCO2 (mmol/gDW h)	qO2 (mmol/gDW h)	glucose.H2O concentration (g/L)	Nitrogen source	nitrogen source concentration (g/L)	limiting nutrient	C/N ratio	experiment subset	total RNA content (g/gDW)	total protein content (g/gDW)	extra notes
prot.2	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.05@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.05	0.704	0.087				0.087	0	0	0.000165839	0	0.006679617	2.105	2.276	7.5	NH4	0.5	N	30	GR	0.024941	0.250820107	
prot.3	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.05@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.05	0.768	0.14				0.14	0	0	0.000381541	0	0.009782316	2.383	1.624	7.5	NH4	0.5	N	30	GR	0.025831	0.2610965	
prot.4	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@NH4@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.18	2.203				2.203	0	0	0.000127955	0	0	1.93	2.44	7.5	NH4	5	C	3	NM	0.053444	0.35967375	
prot.5	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@NH4@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.127	2.098				2.098	0.016766475	0	0.00015727	0	0	2.07	2.39	7.5	NH4	5	C	3	NM	0.050594	0.377942893	
prot.6	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@NH4@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.098	2.055				2.055	0	0	0.000134221	0	0	1.97	2.18	7.5	NH4	5	C	3	NM	0.045962	0.336456714	
prot.7	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.51	0.308				0.308	0	0.075614127	0.01798235	0	0	3.466	3.616	7.5	NH4	0.5	N	30	"GR, NM"	0.022625	0.209333929	
prot.8	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.511	0.308				0.308	0	0.049087043	0.0138432	0	0	3.136	3.522	7.5	NH4	0.5	N	30	"GR, NM"	0.02601	0.221513357	
prot.9	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.489	0.304				0.304	0	0.066037848	0.01602926	0	0	3.161	3.824	7.5	NH4	0.5	N	30	"GR, NM"	0.027257	0.245872214	
prot.10	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.13@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.13	2.019	0.415				0.415	0.14387805	0.23128044	0.024418573	0.000738944	0.042122905	5.51	5.252	7.5	NH4	0.5	N	30	GR	0.026366	0.3037245	
prot.11	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.13@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.13	2.059	0.425				0.425	0.139168113	0.22761731	0.025077986	0.002152588	0.033899712	5.374	4.546	7.5	NH4	0.5	N	30	GR	0.025831	0.256909821	
