gene,abundance
YKL060C,20543
YHR174W,15998
YCR012W,15913
YAL038W,14914
YGR192C,13635
YLR044C,11472
YLL024C,10528
YGL008C,10216
YLR249W,10074
YBR118W,8169
YLR355C,7965
YOL086C,7531
YKL152C,7342
YPR080W,7233
YPL061W,5978
YAL005C,5396
YPL079W,5391
YDR382W,5346
YER091C,5328
YMR116C,5318
YNL030W,5290
YGR254W,4967
YIL053W,4643
YML028W,4440
YGL076C,4341
YJR104C,4295
YNL209W,4273
YJR009C,4220
YPL240C,4197
YDL136W,4188
YDL191W,4151
YMR186W,4137
YER131W,4094
YLR109W,4084
YER070W,4052
YML063W,3917
YOR096W,3893
YOR063W,3886
YBR009C,3820
YPR035W,3794
YBL002W,3666
YGL135W,3626
YBR048W,3582
YLL045C,3508
YDR050C,3446
YHL033C,3415
YGL031C,3414
YDL055C,3349
YDR025W,3347
YBR196C,3343
YOL039W,3326
YGR234W,3315
YLR134W,3308
YOR369C,3217
YER043C,3205
YHR183W,3195
YGL253W,3086
YDR385W,2971
YGR034W,2919
YJL034W,2906
YGR027C,2850
YPL106C,2797
YDR012W,2730
YGR148C,2704
YGL103W,2673
YER165W,2652
YDL229W,2615
YKL081W,2602
YDR353W,2570
YNL055C,2529
YDR155C,2500
YHR203C,2495
YDL185W,2494
YLR110C,2472
YNL067W,2440
YBL027W,2357
YHL015W,2336
YKL216W,2335
YGL147C,2332
YNL178W,2327
YML123C,2318
YPL220W,2280
YHR027C,2280
YJL052W,2250
YLR180W,2217
YLR354C,2188
YBR189W,2167
YAL003W,2155
YLR075W,2090
YLR153C,2083
YER177W,2057
YOR375C,2014
YIL051C,2010
YNL301C,2001
YPR132W,1974
YOR133W,1973
YLR167W,1949
YJR016C,1944
YGR118W,1926
YMR142C,1924
YKL182W,1923
YDR226W,1917
YNL069C,1894
YML024W,1881
YKL006W,1800
YNL064C,1788
YGL009C,1788
YPL090C,1782
YNL031C,1752
YJR123W,1752
YLR441C,1739
YEL046C,1736
YPL160W,1712
YMR205C,1697
YGR180C,1657
YLR048W,1648
YBR127C,1647
YGR240C,1600
YLR333C,1595
YDR033W,1584
YBR121C,1579
YFL039C,1573
YJR121W,1555
YBR025C,1540
YGL030W,1537
YPL131W,1533
YLR061W,1530
YGR085C,1528
YDR450W,1518
YBR010W,1508
YPR074C,1468
YJR145C,1465
YGL189C,1462
YDR471W,1447
YBR084C-A,1440
YDL081C,1436
YEL034W,1421
YOL127W,1412
YDR418W,1411
YBL092W,1410
YBL087C,1405
YPL081W,1402
YDR158W,1398
YGR155W,1390
YOL120C,1372
YPR145W,1365
YLR304C,1363
YGR124W,1363
YBR011C,1361
YPL231W,1356
YLR448W,1351
YEL054C,1350
YLR029C,1343
YMR120C,1325
YLR340W,1322
YDR447C,1321
YJR109C,1314
YKL056C,1310
YPL249C-A,1290
YNL255C,1285
YGR285C,1284
YCR024C-A,1268
YBR079C,1264
YDL130W,1264
YML126C,1260
YDL082W,1244
YJL026W,1220
YBR031W,1218
YLR303W,1213
YBR082C,1204
YLR150W,1197
YLR058C,1182
YCR053W,1180
YOL121C,1176
YIL069C,1170
YDL126C,1170
YJL189W,1166
YOR335C,1164
YKR059W,1163
YHR193C,1160
YML026C,1159
YER117W,1158
YOR027W,1152
YHR196W,1147
YBL072C,1144
YNL096C,1140
YBR181C,1138
YJL136C,1137
YHR064C,1130
YNR050C,1114
YHL001W,1101
YGL123W,1097
YKL210W,1083
YGR086C,1081
YPL036W,1074
YOL058W,1066
YNL302C,1063
YDR023W,1045
YLR390W-A,1044
YGL137W,1035
YDR224C,1034
YOR173W,1034
YHR089C,1028
YDR233C,1028
YCR031C,1024
YML073C,1021
YGL105W,1016
YDR099W,1005
YHR208W,1003
YDR037W,1002
YML008C,1001
YBR249C,995
YCL030C,993
YOR298C-A,988
YDR432W,985
YLR367W,984
YMR194W,976
YOR167C,976
YGR264C,969
YGL245W,960
YOL040C,959
YPR102C,957
YBL076C,957
YNR016C,954
YBL030C,942
YFR032C-A,939
YLR325C,922
YER023W,918
YIL133C,916
YIL041W,910
YKL180W,909
YER110C,906
YER178W,898
YMR309C,897
YDR172W,896
YMR079W,892
YJR139C,890
YDL061C,888
YNL014W,886
YIR034C,885
YPL004C,884
YGR185C,872
YEL017C-A,869
YJL130C,868
YGR214W,859
YGR204W,853
YPR041W,849
YOL109W,844
YIL078W,842
YHR025W,838
YGR159C,833
YLR388W,829
YKR057W,821
YGR094W,808
YPL028W,805
YPR043W,803
YCL050C,799
YGL026C,795
YDL182W,794
YIL052C,793
YPL037C,790
YJL138C,788
YJL177W,786
YAL012W,780
YOR374W,779
YDL084W,777
YDR298C,777
YOR234C,775
YNL287W,771
YBL099W,770
YBR106W,767
YDL184C,765
YMR242C,762
YER056C-A,760
YGR061C,748
YNL162W,746
YBR286W,741
YDL171C,737
YBL003C,737
YJL190C,736
YHR007C,732
YGR060W,726
YMR143W,726
YJR126C,719
YGR209C,718
YLL050C,717
YOR198C,716
YNL220W,715
YFL018C,713
YLR344W,712
YFL034C-A,712
YLL026W,711
YNL244C,709
YDR454C,708
YKL156W,707
YOR293W,707
YLR259C,704
YHR141C,703
YOR361C,701
YGR175C,696
YMR217W,695
YLR406C,690
YPL066W,687
YJR105W,683
YJL080C,681
YER065C,678
YML012W,675
YKR094C,673
YBL039C,672
YMR307W,666
YNL135C,666
YPL048W,658
YEL071W,657
YHR047C,647
YGL202W,647
YFR031C-A,647
YJR094W-A,639
YLL018C,637
YDR502C,636
YBR143C,636
YNL007C,635
YMR108W,633
YOR185C,633
YNR053C,631
YGL206C,630
YER102W,622
YKL033W-A,615
YMR235C,615
YCL040W,614
YIL018W,613
YLR432W,610
YPL198W,609
YOR270C,607
YHR010W,605
YNL112W,604
YDL145C,600
YDL192W,599
YER074W,596
YOR332W,592
YPL145C,589
YJL191W,588
YGL234W,588
YLR264W,582
YJR070C,580
YER052C,576
YBR191W,574
YOR312C,574
YKR042W,574
YLR287C-A,572
YBR039W,572
YKL192C,569
YLR185W,568
YLR438W,568
YDR345C,566
YOL139C,564
YPL226W,562
YNL121C,556
YOR168W,554
YNL016W,552
YKR077W,548
YJR045C,543
YPL111W,542
YHR052W,540
YER036C,539
YPR108W,537
YFL045C,537
YPL273W,537
YMR246W,535
YDL075W,534
YOR310C,531
YNL312W,531
YOR187W,530
YOR136W,530
YMR083W,525
YDR346C,521
YKL071W,521
YMR012W,520
YER081W,520
YOR346W,518
YOR341W,517
YGR253C,516
YLR197W,516
YOR182C,515
YGR211W,513
YKL117W,511
YKL212W,508
YOR086C,506
YDR062W,505
YLR347C,504
YER025W,500
YLR378C,499
YDR381W,498
YMR178W,497
YOR326W,494
YHL034C,494
YDL083C,488
YDR127W,488
YLR033W,482
YLR043C,481
YLR216C,480
YOR153W,477
YLR060W,476
YKL035W,474
YML070W,471
YPL225W,470
YDL133C-A,469
YKL054C,468
YPL093W,468
YGL238W,467
YKL009W,466
YLR196W,466
YDR101C,464
YHR020W,460
YPR191W,458
YPR163C,454
YFR053C,452
YOR020C,452
YDL066W,448
YBR159W,446
YLR175W,444
YDR399W,443
YIL075C,443
YER133W,443
YJR007W,442
YLR314C,441
YHR042W,440
YER103W,438
YPR033C,437
YBR218C,436
YKL096W-A,435
YER126C,435
YOR356W,434
YMR260C,433
YHR021C,433
YDR500C,432
YOR108W,431
YKL085W,430
YHR179W,428
YFR044C,425
YGR282C,424
YEL027W,423
YOR007C,422
YMR145C,421
YER073W,420
YIL148W,420
YDR297W,420
YPR036W,416
YDL131W,413
YDL160C,412
YOR230W,410
YGL200C,410
YHR068W,409
YGR037C,407
YOR317W,407
YHR005C-A,406
YHR215W,404
YML106W,403
YFL014W,401
YDL022W,401
YNL247W,401
YMR297W,401
YBR111C,400
YAL016W,399
YEL020W-A,397
YMR122W-A,396
YPR062W,394
YBL045C,392
YLR027C,392
YDR508C,390
YMR230W,390
YDR211W,389
YHR019C,384
YNR043W,384
YAL035W,383
YKR081C,382
YOR184W,381
YGL078C,380
YBR115C,378
YDR483W,378
YBR034C,376
YOR209C,375
YJL200C,374
YPR016C,373
YDR368W,372
YHR039C-A,371
YGL011C,371
YOL144W,371
YNL243W,371
YLR234W,370
YFL004W,369
YMR038C,367
YJL109C,367
YMR146C,367
YDL097C,367
YHR018C,367
YNL141W,366
YML052W,365
YHR024C,362
YPL078C,361
YOR276W,361
YNR021W,360
YOL059W,360
