	all_gene	Glucose_phase_rep1(g/gDW)	Glucose_phase_rep2(g/gDW)	Glucose_phase_rep3(g/gDW)	Diauxic_shift_rep1(g/gDW)	Diauxic_shift_rep2(g/gDW)	Diauxic_shift_rep3(g/gDW)	Ethanol_phase_rep1(g/gDW)	Ethanol_phase_rep2(g/gDW)	Ethanol_phase_rep3(g/gDW)	mmol/gDW_carl	prot.1	prot.10	prot.11	prot.12	prot.13	prot.14	prot.15	prot.16	prot.17	prot.18	prot.19	prot.2	prot.20	prot.21	prot.22	prot.23	prot.24	prot.25	prot.26	prot.27	prot.28	prot.29	prot.3	prot.30	prot.31	prot.32	prot.33	prot.34	prot.35	prot.36	prot.37	prot.38	prot.39	prot.4	prot.40	prot.41	prot.42	prot.5	prot.6	prot.7	prot.8	prot.9	mmol/gDW_Tyler_D0.1	Min_aerobic_1	Min_aerobic_2	Rich_aerobic_1	Rich_aerobic_2	Min_anaerobic_1	Min_anaerobic_2	Min_anaerobic_3	Rich_anaerobic_1	Rich_anaerobic_2	Rich_anaerobic_3	mean_REF_CN4_D=0.1	mean_CN22_D=0.1	mean_CN38_D=0.1	mean_CN75_D=0.1	FG_rep1_CN4_D= 0.26 or 0.32	FG_rep2_CN4_D= 0.26 or 0.32	FG_rep3_CN4_D= 0.26 or 0.32	FG_rep4_CN4_D= 0.26 or 0.32
0	YKL126W	1.69147929387013e-07	1.716240124303614e-07	1.512823382407111e-07	1.946649928594727e-07	1.887937807755795e-07	1.684487913899474e-07	1.621462354733018e-07	1.684428977082018e-07	1.760582712336682e-07	3.178355942779938e-07	4.723802494e-08	6.039031440000001e-08	5.806760990000001e-08	6.384041334e-08	5.929655422e-08	6.554266269e-08	7.338437722000001e-08	1.061686449e-07	9.370933435000001e-08	8.234734167000001e-08	1.102530291e-07	4.337089355e-08	8.148924705e-08	1.037731007e-07	1.544006593e-07	8.805869777e-08	1.36684702e-07	1.162500292e-07	6.774813215000001e-08	7.761542173e-08	3.488422583e-08	7.62235615e-08	4.536970651e-08	7.56596218e-08	9.193682513000001e-08	1.363867638e-07	1.252513983e-07	8.193936459e-08	7.843614610000001e-08	7.634394966000001e-08	7.122499297e-08	7.470686664e-08	7.133721497000001e-08	9.978460350000001e-08	7.869705418e-08	8.019474896000001e-08	7.819941269000001e-08	6.727935478000001e-08	7.526086168000001e-08	4.024387766e-08	4.409111948000001e-08	4.131402914e-08	6.593333333333333e-07	4.28151764721051e-08	3.260841718201019e-08	4.567189021829391e-08	4.585833030581281e-08	9.488304211487246e-08	9.593511626112357e-08	1.026030095851023e-07	9.42481806393533e-08	1.008009371005747e-07	1.003800169937721e-07	7.934903036244934e-07	5.261189338882066e-07	7.211476967659847e-07	4.272380226418714e-07	8.575480203324129e-07	8.394853809672717e-07	8.537524062274841e-07	7.611226231848804e-07
1	YLR249W	3.509648332539843e-05	3.773284381351031e-05	3.151378080276852e-05	3.348257940462947e-05	3.406581768419606e-05	3.017340322299661e-05	2.126550732403332e-05	2.226222023575298e-05	2.19253855171518e-05	4.134538541018453e-05	5.512139279e-06	9.555332029e-06	8.274362784999999e-06	8.009919304e-06	9.710760561e-06	1.01822114e-05	9.204709608e-06	1.836634214e-05	1.711291702e-05	1.714001631e-05	2.422305678e-05	4.959316449e-06	2.435254179e-05	2.445151874e-05	1.566212318e-05	1.620729691e-05	1.791998869e-05	1.293227544e-05	7.727644398000002e-06	9.485390439000002e-06	5.311607083e-06	9.553552584e-06	5.883052178e-06	9.883155466000001e-06	9.689679219e-06	1.32097434e-05	1.048174927e-05	1.187215362e-05	9.983854058000002e-06	1.065811084e-05	7.958661742e-06	9.650951827000002e-06	8.513610007e-06	8.454530376000001e-06	1.175646576e-05	1.212577222e-05	1.115411538e-05	9.264357688e-06	8.356661561000001e-06	5.91290712e-06	6.422343903e-06	5.955119202e-06	1.746666666666667e-05	5.759123450940725e-05	4.995739271706907e-05	7.010923673671448e-05	6.853024958385189e-05	6.57846262658036e-05	6.713840066409297e-05	6.536571899043424e-05	7.69177277068353e-05	7.744078205515771e-05	7.831711902271764e-05	2.810195595717818e-05	2.812822921418332e-05	3.731170930877532e-05	2.402849773342179e-05	6.051927179901578e-05	6.080851369521156e-05	5.500399672203537e-05	6.092927951833261e-05
2	YNL064C	4.307231090366138e-06	4.591027480065016e-06	3.86472670205247e-06	3.598999169459861e-06	3.664748664919425e-06	3.159339665031008e-06	2.851380984499599e-06	3.114398188526269e-06	2.812643469304485e-06	3.963622504300045e-06	1.327570943e-06	8.914088354000001e-07	7.501603061e-07	7.571775495000001e-07	6.113558343e-07	6.358100671e-07	7.428235806e-07	9.916903621e-07	9.675373554e-07	8.913609128000001e-07	1.079870013e-06	1.288054172e-06	9.855164182000001e-07	1.159391076e-06	1.510356983e-06	1.822079996e-06	1.966361343e-06	2.160420607e-06	1.26479458e-06	1.591370189e-06	6.093704669e-07	1.098972012e-06	1.590520132e-06	1.094871206e-06	1.029807109e-06	1.318003533e-06	1.072220918e-06	1.390646254e-06	1.276088348e-06	1.189804795e-06	1.447622835e-06	1.739591458e-06	1.316816877e-06	1.149424274e-06	1.435086505e-06	1.716435699e-06	1.409644153e-06	1.168151753e-06	9.572157333000001e-07	7.718966445e-07	8.075100024e-07	1.370260878e-06	7.17e-06	3.750167051560677e-06	4.900016123209003e-06	5.393248099480105e-06	5.656076782811944e-06	3.336750827326997e-06	3.422371717674598e-06	3.408537739319328e-06	3.845965108644521e-06	3.9513473137136e-06	3.896101689239996e-06	1.309298653243252e-05	8.650587937167801e-06	1.534500054489586e-05	6.686696147668266e-06	6.64438120518517e-06	6.441482464370856e-06	6.895657212588723e-06	6.363165281411556e-06
3	YMR106C	4.739080764665647e-09	4.802308314184101e-09	4.279443440100755e-09	5.888227387671065e-09	5.96354905290083e-09	5.023383875184063e-09	5.212388704911777e-09	5.395925288366995e-09	5.148529032216976e-09	1.237324266488003e-08																																												9.43477556713823e-09	8.158534801463062e-09	9.876206667002984e-09	1.01608541610806e-08	4.274669521980629e-09	4.465064317298589e-09	4.3745338777677e-09	4.276071903915784e-09	5.019705151440587e-09	5.14595422128499e-09								
4	YLL006W	5.454750946314651e-08	5.66719245642495e-08	5.274890474752413e-08	7.255842644716277e-08	7.542299264960719e-08	6.378625945296756e-08	6.59280365093218e-08	6.456207294887912e-08	6.585499116605755e-08	5.073004834906741e-07	1.798045404e-08	1.787739175e-08	1.562809306e-08	1.642706793e-08	1.768800873e-08	1.7998744e-08	1.948622829e-08	2.40345665e-08	1.984522867e-08	1.986489761e-08	2.209642007e-08	1.76650737e-08	1.818666715e-08	2.235081357e-08	4.446050049000001e-08	4.898798425e-08	3.946476058e-08	3.721662316e-08	1.939315768e-08	2.37950313e-08	1.025542576e-08	2.094676154e-08	1.979952805e-08	2.523930684e-08	3.177977179e-08	3.459317929000001e-08	3.434587817e-08	3.001726108e-08	2.582932646e-08	2.799114315e-08	2.263814471e-08	3.755000314e-08	1.732129072e-08	2.382263553e-08	1.459884898e-08	2.727391652e-08	2.302245103e-08	2.729090005e-08	2.24559712e-08	1.438396651e-08	1.64740024e-08	1.048685629e-08		1.733358512438948e-07	1.663862695242288e-07	1.922441039079948e-07	1.971347731721327e-07	1.083227937265121e-07	1.098731713139503e-07	1.101211551116595e-07	1.187862844227259e-07	1.298951506606394e-07	1.185169085787184e-07								
5	YCR030C	2.719346299458039e-07	2.860005506137804e-07	2.552433680316943e-07	4.374391241775491e-07	4.571633241076932e-07	3.812221235288626e-07	4.24339591064877e-07	4.48448417444574e-07	4.028414742523936e-07	3.666848493170434e-07	2.424443552e-07	2.301647695e-07	1.99950089e-07	2.046272844e-07	2.090218993e-07	2.106557505e-07	2.271908529e-07	2.201058771e-07	2.451296012e-07	2.061619891e-07	2.197038586e-07	2.19932918e-07	2.019389597e-07	2.224487493e-07	2.067934105e-07	2.754083492e-07	2.190330452e-07	2.281740382e-07	1.679687934e-07	1.984767731e-07	1.549613191e-07	2.513385775000001e-07	2.105614757e-07	2.557607197e-07	2.261197268e-07	2.364346468e-07	2.448336227e-07	2.987719132e-07	2.646853923e-07	2.662746645e-07	1.720900843e-07	2.266977986e-07	1.909611048e-07	1.949842236e-07	2.968128504e-07	2.746258934e-07	2.5893025e-07	2.76006397e-07	1.976874961e-07	1.811438679e-07	1.957946937e-07	2.185843266e-07	2.25e-06	5.033052057980331e-07	5.432683526714131e-07	5.077751440162391e-07	4.904310060017147e-07	6.918789437967555e-07	6.685360534776104e-07	7.269410666744472e-07	7.427532158321792e-07	8.061545930742825e-07	7.825808027666559e-07	7.510010670046829e-07	8.830622647545135e-07	1.255870272435023e-06	7.612105131802822e-07	4.90299327842529e-07	4.803076553364496e-07	5.304861963630356e-07	4.955448783776386e-07
6	YPR024W	2.530785270819326e-07	2.703812838728692e-07	2.354534382536575e-07	3.268436743589957e-07	3.291303436866416e-07	2.670150045205813e-07	3.354647076881874e-07	3.385983415323544e-07	2.947119580134743e-07	2.892882732050681e-07	6.015257029e-08	1.06528809e-07	9.157712515000001e-08	9.30656869e-08	1.103411581e-07	9.609909002000001e-08	1.182411378e-07	2.190999548e-07	2.103814696e-07	1.87986978e-07	2.939739231e-07	5.957441028000001e-08	2.362307633e-07	2.493628848e-07	1.251794663e-07	1.974822337e-07	1.648832785e-07	1.73418106e-07	1.001440351e-07	1.252445824e-07	8.47868374e-08	1.290423854e-07	6.388036362e-08	1.175160249e-07	1.544282745e-07	2.101763335e-07	1.904070122e-07	1.346361146e-07	1.433777095e-07	1.38620294e-07	8.491774920000001e-08	1.152921546e-07	1.057358609e-07	1.032857838e-07	1.945499713e-07	1.753525564e-07	1.488822608e-07	1.194662445e-07	1.067131458e-07	6.370228012e-08	6.796242090000001e-08	1.161836602e-07	4.6399999999999997e-07	3.222643692494368e-07	3.99194007884272e-07	3.597671497564388e-07	3.91851014774113e-07	3.381380453097524e-07	3.347538915127685e-07	3.470304629302371e-07	3.202480233216884e-07	3.289495834700261e-07	3.27293089506003e-07	4.51813695339271e-07	2.58236564662378e-07	3.948194770461358e-07	1.875393217878811e-07	5.950623458821604e-07	5.573818611035171e-07	6.489246546180887e-07	7.606342606230089e-07
7	YOR087W	5.628015936377144e-08	5.78904754266886e-08	5.068000996059658e-08	8.055563031472694e-08	8.230552874377385e-08	7.42221116641048e-08	7.490816273913423e-08	7.718130776607893e-08	7.470240984165497e-08	1.987279530916432e-07	2.391312386e-08	2.771784884e-08	2.273253568e-08	2.276981745e-08	2.302146917e-08	2.154809513e-08	2.373022591e-08	2.655391322e-08	2.964624639e-08	4.032019251e-08	3.406663893e-08	1.940924217e-08	5.014900909e-08	3.804830468e-08	4.799240003e-08	4.041439101000001e-08	3.729443826e-08	3.367969476e-08	2.226250626e-08	2.232448719e-08	1.878999261e-08	3.193935246e-08	1.952245438e-08	3.276626131e-08	3.796516771e-08	3.860532605e-08	3.129875917e-08	4.073066439e-08	3.517873106e-08	4.421563638e-08	2.67142246e-08	3.140675188000001e-08	2.454371327e-08	2.618855222e-08	4.090688268000001e-08	4.099002092e-08	4.426087152e-08	2.159544292e-08	1.925241035e-08	2.055621469e-08	2.023335484e-08	1.828376883e-08	0.0	1.184709360328492e-07	1.013187313031111e-07	1.013865680414125e-07	1.064221569205967e-07	9.977865355002513e-08	1.049029409945387e-07	1.064734313241351e-07	9.543423096866233e-08	1.072421486651636e-07	1.028030283278428e-07	6.478288308841962e-07	7.348033113941645e-07	1.291690065296813e-06	6.141127649442296e-07	3.12365818533992e-07	3.13800674280812e-07	4.461628670109831e-07	5.071918269708734e-07
8	YLR277C	9.774874659496813e-09	9.29650570835934e-09	8.291916303010705e-09	6.246405409081294e-09	6.381299484906998e-09	6.034652595435962e-09	5.316619192903022e-09	5.707121264977355e-09	5.45120024101564e-09	1.152071700629553e-07	1.093219906e-09	1.309465448e-09	9.9734287e-10	1.178232972e-09	1.313479752e-09	1.191926674e-09	1.357342694e-09	2.010616187e-09	1.821191817e-09	2.137087839e-09	2.193076792e-09	9.5977886e-10	2.286284678e-09	2.489554808e-09	6.63247271e-10	2.41996235e-10	1.178509044e-09	1.115469001e-09	8.645004480000001e-10	8.978909950000001e-10	6.13047362e-10	8.94407705e-10	9.16004653e-10	9.6310721e-10	1.438018907e-09	1.328565076e-09	1.616437042e-09	1.136723677e-09	8.198684480000001e-10	1.002296662e-09	1.009280138e-09	7.14264124e-10	1.237868602e-09	1.313754413e-09	1.162575784e-09	8.13030049e-10	1.039378956e-09	1.265794064e-09	1.529029478e-09	9.923778150000001e-10	9.255122110000001e-10	8.043591550000001e-10		5.850929722929976e-09	5.029307282253084e-09	5.617547539783193e-09	6.477636114106976e-09	1.020945439274864e-08	9.782129027866755e-09	9.9725255991706e-09	1.005692870977896e-08	1.045783388756619e-08	1.017807515398631e-08		1.344267847839854e-08			7.739538811550696e-09			
9	YPR107C																																																																							
