threshold,n_proteins,R2_cv_mean,R2_cv_std,R2_test_mean,R2_test_std,R2_cv_sem,R2_test_sem,R2_cv_ci95,R2_test_ci95
1,85,0.8651514647862266,0.0726604668552127,0.7088096810713445,0.04363474365380414,0.022977257111364408,0.013798517506359879,0.04503542393827424,0.02704509431246536
2,41,0.8453768364774102,0.11246206590055616,0.858741801925248,0.01198153412546413,0.03556362786137128,0.0037888937699500297,0.06970471060828771,0.007426231789102058
3,30,0.8225356168776484,0.07514635392690945,0.8504173405529226,0.014200134246970836,0.023763363626617212,0.00449047673005878,0.046576192708169734,0.008801334390915209
4,21,0.6485756713468798,0.4352305433304167,0.7217399887010972,0.012964275321238205,0.13763198241967226,0.0040996638228623815,0.2697586855425576,0.008035341092810268
5,18,0.6934682072049483,0.11924043444617119,0.6610731110387077,0.029280027905543647,0.037707136203789925,0.009259157813480742,0.07390598695942825,0.018147949314422252
6,11,0.6380156166945429,0.10281112259943469,0.524059206866808,0.03215609617832029,0.03251173162130247,0.010168650458292804,0.06372299397775284,0.019930554898253895
