"Description","Count","p.adjust"
"Glycolysis / Gluconeogenesis",6,5.91072958379443e-05
"Carbon metabolism",5,0.0192517983575722
"Ribosome",6,0.0221109426869652
"Pyruvate metabolism",3,0.0525345079241701
"Carbon fixation by Calvin cycle",2,0.0590761343126716
"Biosynthesis of secondary metabolites",7,0.0590761343126716
"Biosynthesis of amino acids",4,0.0590761343126716
"Methane metabolism",2,0.0648875299678486
"Ascorbate and aldarate metabolism",1,0.25593046994177
"Fatty acid biosynthesis",1,0.25593046994177
"beta-Alanine metabolism",1,0.25593046994177
"Valine, leucine and isoleucine degradation",1,0.25593046994177
"Histidine metabolism",1,0.25593046994177
"Lysine degradation",1,0.264767120993875
"Fatty acid degradation",1,0.264767120993875
"Tryptophan metabolism",1,0.264767120993875
"Fructose and mannose metabolism",1,0.264767120993875
"Arginine and proline metabolism",1,0.264767120993875
"Pantothenate and CoA biosynthesis",1,0.264767120993875
"Fatty acid metabolism",1,0.264767120993875
"Base excision repair",1,0.272171742897537
"Pentose phosphate pathway",1,0.287940691553336
"Citrate cycle (TCA cycle)",1,0.297477821145084
"Glycerolipid metabolism",1,0.297477821145084
"Proteasome",1,0.31684773584656
"Longevity regulating pathway - multiple species",1,0.319369593111848
"RNA degradation",1,0.474016496557655
"Spliceosome",1,0.500892305492109
"Endocytosis",1,0.500892305492109
"Oxidative phosphorylation",1,0.500892305492109
"Ribosome biogenesis in eukaryotes",1,0.523989128008323
"Protein processing in endoplasmic reticulum",1,0.523989128008323
"Biosynthesis of cofactors",1,0.641720296954171
